id,category,prompt
Explicit_Deer_001,Explicit_Deer,"a photo of a majestic deer, An empty misty forest clearing in the morning, highly detailed"
Explicit_Deer_002,Explicit_Deer,"a photo of a majestic deer, An empty misty forest clearing in the morning, sharp focus"
Explicit_Deer_003,Explicit_Deer,"a photo of a majestic deer, An empty misty forest clearing in the morning, masterpiece"
Explicit_Deer_004,Explicit_Deer,"a photo of a majestic deer, An empty misty forest clearing in the morning, beautiful natural lighting"
Explicit_Deer_005,Explicit_Deer,"a beautiful buck with large antlers, An empty misty forest clearing in the morning, highly detailed"
Explicit_Deer_006,Explicit_Deer,"a beautiful buck with large antlers, An empty misty forest clearing in the morning, sharp focus"
Explicit_Deer_007,Explicit_Deer,"a beautiful buck with large antlers, An empty misty forest clearing in the morning, masterpiece"
Explicit_Deer_008,Explicit_Deer,"a beautiful buck with large antlers, An empty misty forest clearing in the morning, beautiful natural lighting"
Explicit_Deer_009,Explicit_Deer,"a cute spotted fawn standing, An empty misty forest clearing in the morning, highly detailed"
Explicit_Deer_010,Explicit_Deer,"a cute spotted fawn standing, An empty misty forest clearing in the morning, sharp focus"
Explicit_Deer_011,Explicit_Deer,"a cute spotted fawn standing, An empty misty forest clearing in the morning, masterpiece"
Explicit_Deer_012,Explicit_Deer,"a cute spotted fawn standing, An empty misty forest clearing in the morning, beautiful natural lighting"
Explicit_Deer_013,Explicit_Deer,"a wild deer in the woods, An empty misty forest clearing in the morning, highly detailed"
Explicit_Deer_014,Explicit_Deer,"a wild deer in the woods, An empty misty forest clearing in the morning, sharp focus"
Explicit_Deer_015,Explicit_Deer,"a wild deer in the woods, An empty misty forest clearing in the morning, masterpiece"
Explicit_Deer_016,Explicit_Deer,"a wild deer in the woods, An empty misty forest clearing in the morning, beautiful natural lighting"
Explicit_Deer_017,Explicit_Deer,"a photo of a majestic deer, A quiet green meadow surrounded by tall pine trees, highly detailed"
Explicit_Deer_018,Explicit_Deer,"a photo of a majestic deer, A quiet green meadow surrounded by tall pine trees, sharp focus"
Explicit_Deer_019,Explicit_Deer,"a photo of a majestic deer, A quiet green meadow surrounded by tall pine trees, masterpiece"
Explicit_Deer_020,Explicit_Deer,"a photo of a majestic deer, A quiet green meadow surrounded by tall pine trees, beautiful natural lighting"
Explicit_Deer_021,Explicit_Deer,"a beautiful buck with large antlers, A quiet green meadow surrounded by tall pine trees, highly detailed"
Explicit_Deer_022,Explicit_Deer,"a beautiful buck with large antlers, A quiet green meadow surrounded by tall pine trees, sharp focus"
Explicit_Deer_023,Explicit_Deer,"a beautiful buck with large antlers, A quiet green meadow surrounded by tall pine trees, masterpiece"
Explicit_Deer_024,Explicit_Deer,"a beautiful buck with large antlers, A quiet green meadow surrounded by tall pine trees, beautiful natural lighting"
