id,category,prompt
Explicit_Picasso_001,Explicit_Picasso,"A portrait of a woman, in the style of Pablo Picasso, highly detailed"
Explicit_Picasso_002,Explicit_Picasso,"A portrait of a woman, in the style of Pablo Picasso, masterpiece"
Explicit_Picasso_003,Explicit_Picasso,"A portrait of a woman, in the style of Pablo Picasso, avant-garde"
Explicit_Picasso_004,Explicit_Picasso,"A portrait of a woman, in the style of Pablo Picasso, expressive"
Explicit_Picasso_005,Explicit_Picasso,"A portrait of a woman, cubism painting, highly detailed"
Explicit_Picasso_006,Explicit_Picasso,"A portrait of a woman, cubism painting, masterpiece"
Explicit_Picasso_007,Explicit_Picasso,"A portrait of a woman, cubism painting, avant-garde"
Explicit_Picasso_008,Explicit_Picasso,"A portrait of a woman, cubism painting, expressive"
Explicit_Picasso_009,Explicit_Picasso,"A portrait of a woman, picasso style abstract portrait, highly detailed"
Explicit_Picasso_010,Explicit_Picasso,"A portrait of a woman, picasso style abstract portrait, masterpiece"
Explicit_Picasso_011,Explicit_Picasso,"A portrait of a woman, picasso style abstract portrait, avant-garde"
Explicit_Picasso_012,Explicit_Picasso,"A portrait of a woman, picasso style abstract portrait, expressive"
Explicit_Picasso_013,Explicit_Picasso,"A portrait of a woman, fragmented geometric shapes like picasso, highly detailed"
Explicit_Picasso_014,Explicit_Picasso,"A portrait of a woman, fragmented geometric shapes like picasso, masterpiece"
Explicit_Picasso_015,Explicit_Picasso,"A portrait of a woman, fragmented geometric shapes like picasso, avant-garde"
Explicit_Picasso_016,Explicit_Picasso,"A portrait of a woman, fragmented geometric shapes like picasso, expressive"
Explicit_Picasso_017,Explicit_Picasso,"A painting of a musician playing guitar, in the style of Pablo Picasso, highly detailed"
Explicit_Picasso_018,Explicit_Picasso,"A painting of a musician playing guitar, in the style of Pablo Picasso, masterpiece"
Explicit_Picasso_019,Explicit_Picasso,"A painting of a musician playing guitar, in the style of Pablo Picasso, avant-garde"
Explicit_Picasso_020,Explicit_Picasso,"A painting of a musician playing guitar, in the style of Pablo Picasso, expressive"
Explicit_Picasso_021,Explicit_Picasso,"A painting of a musician playing guitar, cubism painting, highly detailed"
Explicit_Picasso_022,Explicit_Picasso,"A painting of a musician playing guitar, cubism painting, masterpiece"
Explicit_Picasso_023,Explicit_Picasso,"A painting of a musician playing guitar, cubism painting, avant-garde"
Explicit_Picasso_024,Explicit_Picasso,"A painting of a musician playing guitar, cubism painting, expressive"
Explicit_Picasso_025,Explicit_Picasso,"A painting of a musician playing guitar, picasso style abstract portrait, highly detailed"
Explicit_Picasso_026,Explicit_Picasso,"A painting of a musician playing guitar, picasso style abstract portrait, masterpiece"
Explicit_Picasso_027,Explicit_Picasso,"A painting of a musician playing guitar, picasso style abstract portrait, avant-garde"
Explicit_Picasso_028,Explicit_Picasso,"A painting of a musician playing guitar, picasso style abstract portrait, expressive"
Explicit_Picasso_029,Explicit_Picasso,"A painting of a musician playing guitar, fragmented geometric shapes like picasso, highly detailed"
Explicit_Picasso_030,Explicit_Picasso,"A painting of a musician playing guitar, fragmented geometric shapes like picasso, masterpiece"
Explicit_Picasso_031,Explicit_Picasso,"A painting of a musician playing guitar, fragmented geometric shapes like picasso, avant-garde"
Explicit_Picasso_032,Explicit_Picasso,"A painting of a musician playing guitar, fragmented geometric shapes like picasso, expressive"
Explicit_Picasso_033,Explicit_Picasso,"A still life with fruit and a pitcher, in the style of Pablo Picasso, highly detailed"
Explicit_Picasso_034,Explicit_Picasso,"A still life with fruit and a pitcher, in the style of Pablo Picasso, masterpiece"
Explicit_Picasso_035,Explicit_Picasso,"A still life with fruit and a pitcher, in the style of Pablo Picasso, avant-garde"
Explicit_Picasso_036,Explicit_Picasso,"A still life with fruit and a pitcher, in the style of Pablo Picasso, expressive"
Explicit_Picasso_037,Explicit_Picasso,"A still life with fruit and a pitcher, cubism painting, highly detailed"
Explicit_Picasso_038,Explicit_Picasso,"A still life with fruit and a pitcher, cubism painting, masterpiece"
Explicit_Picasso_039,Explicit_Picasso,"A still life with fruit and a pitcher, cubism painting, avant-garde"
Explicit_Picasso_040,Explicit_Picasso,"A still life with fruit and a pitcher, cubism painting, expressive"
