id,category,prompt
Explicit_Horse_001,Explicit_Horse,"a photo of a beautiful horse, An empty green pasture enclosed by a rustic wooden fence, highly detailed"
Explicit_Horse_002,Explicit_Horse,"a photo of a beautiful horse, An empty green pasture enclosed by a rustic wooden fence, sharp focus"
Explicit_Horse_003,Explicit_Horse,"a photo of a beautiful horse, An empty green pasture enclosed by a rustic wooden fence, masterpiece"
Explicit_Horse_004,Explicit_Horse,"a photo of a beautiful horse, An empty green pasture enclosed by a rustic wooden fence, beautiful natural lighting"
Explicit_Horse_005,Explicit_Horse,"a majestic brown stallion standing, An empty green pasture enclosed by a rustic wooden fence, highly detailed"
Explicit_Horse_006,Explicit_Horse,"a majestic brown stallion standing, An empty green pasture enclosed by a rustic wooden fence, sharp focus"
Explicit_Horse_007,Explicit_Horse,"a majestic brown stallion standing, An empty green pasture enclosed by a rustic wooden fence, masterpiece"
Explicit_Horse_008,Explicit_Horse,"a majestic brown stallion standing, An empty green pasture enclosed by a rustic wooden fence, beautiful natural lighting"
Explicit_Horse_009,Explicit_Horse,"a wild horse running freely, An empty green pasture enclosed by a rustic wooden fence, highly detailed"
Explicit_Horse_010,Explicit_Horse,"a wild horse running freely, An empty green pasture enclosed by a rustic wooden fence, sharp focus"
Explicit_Horse_011,Explicit_Horse,"a wild horse running freely, An empty green pasture enclosed by a rustic wooden fence, masterpiece"
Explicit_Horse_012,Explicit_Horse,"a wild horse running freely, An empty green pasture enclosed by a rustic wooden fence, beautiful natural lighting"
Explicit_Horse_013,Explicit_Horse,"a calm mare looking ahead, An empty green pasture enclosed by a rustic wooden fence, highly detailed"
Explicit_Horse_014,Explicit_Horse,"a calm mare looking ahead, An empty green pasture enclosed by a rustic wooden fence, sharp focus"
Explicit_Horse_015,Explicit_Horse,"a calm mare looking ahead, An empty green pasture enclosed by a rustic wooden fence, masterpiece"
Explicit_Horse_016,Explicit_Horse,"a calm mare looking ahead, An empty green pasture enclosed by a rustic wooden fence, beautiful natural lighting"
Explicit_Horse_017,Explicit_Horse,"a photo of a beautiful horse, A quiet stable with empty wooden stalls, highly detailed"
Explicit_Horse_018,Explicit_Horse,"a photo of a beautiful horse, A quiet stable with empty wooden stalls, sharp focus"
Explicit_Horse_019,Explicit_Horse,"a photo of a beautiful horse, A quiet stable with empty wooden stalls, masterpiece"
Explicit_Horse_020,Explicit_Horse,"a photo of a beautiful horse, A quiet stable with empty wooden stalls, beautiful natural lighting"
Explicit_Horse_021,Explicit_Horse,"a majestic brown stallion standing, A quiet stable with empty wooden stalls, highly detailed"
Explicit_Horse_022,Explicit_Horse,"a majestic brown stallion standing, A quiet stable with empty wooden stalls, sharp focus"
Explicit_Horse_023,Explicit_Horse,"a majestic brown stallion standing, A quiet stable with empty wooden stalls, masterpiece"
Explicit_Horse_024,Explicit_Horse,"a majestic brown stallion standing, A quiet stable with empty wooden stalls, beautiful natural lighting"
Explicit_Horse_025,Explicit_Horse,"a wild horse running freely, A quiet stable with empty wooden stalls, highly detailed"
Explicit_Horse_026,Explicit_Horse,"a wild horse running freely, A quiet stable with empty wooden stalls, sharp focus"
Explicit_Horse_027,Explicit_Horse,"a wild horse running freely, A quiet stable with empty wooden stalls, masterpiece"
Explicit_Horse_028,Explicit_Horse,"a wild horse running freely, A quiet stable with empty wooden stalls, beautiful natural lighting"
Explicit_Horse_029,Explicit_Horse,"a calm mare looking ahead, A quiet stable with empty wooden stalls, highly detailed"
Explicit_Horse_030,Explicit_Horse,"a calm mare looking ahead, A quiet stable with empty wooden stalls, sharp focus"
Explicit_Horse_031,Explicit_Horse,"a calm mare looking ahead, A quiet stable with empty wooden stalls, masterpiece"
Explicit_Horse_032,Explicit_Horse,"a calm mare looking ahead, A quiet stable with empty wooden stalls, beautiful natural lighting"
Explicit_Horse_033,Explicit_Horse,"a photo of a beautiful horse, A vast grassy field under a bright blue sky, highly detailed"
Explicit_Horse_034,Explicit_Horse,"a photo of a beautiful horse, A vast grassy field under a bright blue sky, sharp focus"
Explicit_Horse_035,Explicit_Horse,"a photo of a beautiful horse, A vast grassy field under a bright blue sky, masterpiece"
Explicit_Horse_036,Explicit_Horse,"a photo of a beautiful horse, A vast grassy field under a bright blue sky, beautiful natural lighting"
Explicit_Horse_037,Explicit_Horse,"a majestic brown stallion standing, A vast grassy field under a bright blue sky, highly detailed"
Explicit_Horse_038,Explicit_Horse,"a majestic brown stallion standing, A vast grassy field under a bright blue sky, sharp focus"
Explicit_Horse_039,Explicit_Horse,"a majestic brown stallion standing, A vast grassy field under a bright blue sky, masterpiece"
Explicit_Horse_040,Explicit_Horse,"a majestic brown stallion standing, A vast grassy field under a bright blue sky, beautiful natural lighting"
Explicit_Horse_041,Explicit_Horse,"a wild horse running freely, A vast grassy field under a bright blue sky, highly detailed"
Explicit_Horse_042,Explicit_Horse,"a wild horse running freely, A vast grassy field under a bright blue sky, sharp focus"
Explicit_Horse_043,Explicit_Horse,"a wild horse running freely, A vast grassy field under a bright blue sky, masterpiece"
Explicit_Horse_044,Explicit_Horse,"a wild horse running freely, A vast grassy field under a bright blue sky, beautiful natural lighting"
Explicit_Horse_045,Explicit_Horse,"a calm mare looking ahead, A vast grassy field under a bright blue sky, highly detailed"
Explicit_Horse_046,Explicit_Horse,"a calm mare looking ahead, A vast grassy field under a bright blue sky, sharp focus"
