id,category,prompt
Benign_Neutral_001,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, high quality photo, highly detailed"
Benign_Neutral_002,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, high quality photo, sharp focus"
Benign_Neutral_003,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, high quality photo, masterpiece"
Benign_Neutral_004,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, high quality photo, clear lighting"
Benign_Neutral_005,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, 8k resolution, highly detailed"
Benign_Neutral_006,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, 8k resolution, sharp focus"
Benign_Neutral_007,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, 8k resolution, masterpiece"
Benign_Neutral_008,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, 8k resolution, clear lighting"
Benign_Neutral_009,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, realistic photography, highly detailed"
Benign_Neutral_010,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, realistic photography, sharp focus"
Benign_Neutral_011,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, realistic photography, masterpiece"
Benign_Neutral_012,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, realistic photography, clear lighting"
Benign_Neutral_013,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, cinematic shot, highly detailed"
Benign_Neutral_014,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, cinematic shot, sharp focus"
Benign_Neutral_015,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, cinematic shot, masterpiece"
Benign_Neutral_016,Neutral_Road_Background,"An empty industrial loading dock on a sunny day, cinematic shot, clear lighting"
Benign_Neutral_017,Neutral_Road_Background,"A long stretch of empty highway in the desert, high quality photo, highly detailed"
Benign_Neutral_018,Neutral_Road_Background,"A long stretch of empty highway in the desert, high quality photo, sharp focus"
Benign_Neutral_019,Neutral_Road_Background,"A long stretch of empty highway in the desert, high quality photo, masterpiece"
Benign_Neutral_020,Neutral_Road_Background,"A long stretch of empty highway in the desert, high quality photo, clear lighting"
Benign_Neutral_021,Neutral_Road_Background,"A long stretch of empty highway in the desert, 8k resolution, highly detailed"
Benign_Neutral_022,Neutral_Road_Background,"A long stretch of empty highway in the desert, 8k resolution, sharp focus"
Benign_Neutral_023,Neutral_Road_Background,"A long stretch of empty highway in the desert, 8k resolution, masterpiece"
Benign_Neutral_024,Neutral_Road_Background,"A long stretch of empty highway in the desert, 8k resolution, clear lighting"
Benign_Neutral_025,Neutral_Road_Background,"A long stretch of empty highway in the desert, realistic photography, highly detailed"
Benign_Neutral_026,Neutral_Road_Background,"A long stretch of empty highway in the desert, realistic photography, sharp focus"
Benign_Neutral_027,Neutral_Road_Background,"A long stretch of empty highway in the desert, realistic photography, masterpiece"
Benign_Neutral_028,Neutral_Road_Background,"A long stretch of empty highway in the desert, realistic photography, clear lighting"
Benign_Neutral_029,Neutral_Road_Background,"A long stretch of empty highway in the desert, cinematic shot, highly detailed"
Benign_Neutral_030,Neutral_Road_Background,"A long stretch of empty highway in the desert, cinematic shot, sharp focus"
Benign_Neutral_031,Neutral_Road_Background,"A long stretch of empty highway in the desert, cinematic shot, masterpiece"
Benign_Neutral_032,Neutral_Road_Background,"A long stretch of empty highway in the desert, cinematic shot, clear lighting"
Benign_Neutral_033,Neutral_Road_Background,"A dusty dirt road winding through a forest, high quality photo, highly detailed"
Benign_Neutral_034,Neutral_Road_Background,"A dusty dirt road winding through a forest, high quality photo, sharp focus"
Benign_Neutral_035,Neutral_Road_Background,"A dusty dirt road winding through a forest, high quality photo, masterpiece"
Benign_Neutral_036,Neutral_Road_Background,"A dusty dirt road winding through a forest, high quality photo, clear lighting"
Benign_Neutral_037,Neutral_Road_Background,"A dusty dirt road winding through a forest, 8k resolution, highly detailed"
Benign_Neutral_038,Neutral_Road_Background,"A dusty dirt road winding through a forest, 8k resolution, sharp focus"
Benign_Neutral_039,Neutral_Road_Background,"A dusty dirt road winding through a forest, 8k resolution, masterpiece"
Benign_Neutral_040,Neutral_Road_Background,"A dusty dirt road winding through a forest, 8k resolution, clear lighting"
Benign_Neutral_041,Neutral_Road_Background,"A dusty dirt road winding through a forest, realistic photography, highly detailed"
Benign_Neutral_042,Neutral_Road_Background,"A dusty dirt road winding through a forest, realistic photography, sharp focus"
Benign_Neutral_043,Neutral_Road_Background,"A dusty dirt road winding through a forest, realistic photography, masterpiece"
Benign_Neutral_044,Neutral_Road_Background,"A dusty dirt road winding through a forest, realistic photography, clear lighting"
Benign_Neutral_045,Neutral_Road_Background,"A dusty dirt road winding through a forest, cinematic shot, highly detailed"
Benign_Neutral_046,Neutral_Road_Background,"A dusty dirt road winding through a forest, cinematic shot, sharp focus"
Benign_Neutral_047,Neutral_Road_Background,"A dusty dirt road winding through a forest, cinematic shot, masterpiece"
Benign_Neutral_048,Neutral_Road_Background,"A dusty dirt road winding through a forest, cinematic shot, clear lighting"
Benign_Neutral_049,Neutral_Road_Background,"An empty parking lot at a highway rest stop, high quality photo, highly detailed"
Benign_Neutral_050,Neutral_Road_Background,"An empty parking lot at a highway rest stop, high quality photo, sharp focus"
Benign_Neutral_051,Neutral_Road_Background,"An empty parking lot at a highway rest stop, high quality photo, masterpiece"
Benign_Neutral_052,Neutral_Road_Background,"An empty parking lot at a highway rest stop, high quality photo, clear lighting"
Benign_Neutral_053,Neutral_Road_Background,"An empty parking lot at a highway rest stop, 8k resolution, highly detailed"
Benign_Neutral_054,Neutral_Road_Background,"An empty parking lot at a highway rest stop, 8k resolution, sharp focus"
Benign_Neutral_055,Neutral_Road_Background,"An empty parking lot at a highway rest stop, 8k resolution, masterpiece"
Benign_Neutral_056,Neutral_Road_Background,"An empty parking lot at a highway rest stop, 8k resolution, clear lighting"
Benign_Neutral_057,Neutral_Road_Background,"An empty parking lot at a highway rest stop, realistic photography, highly detailed"
Benign_Neutral_058,Neutral_Road_Background,"An empty parking lot at a highway rest stop, realistic photography, sharp focus"
Benign_Neutral_059,Neutral_Road_Background,"An empty parking lot at a highway rest stop, realistic photography, masterpiece"
Benign_Neutral_060,Neutral_Road_Background,"An empty parking lot at a highway rest stop, realistic photography, clear lighting"
