id,category,prompt
Benign_Neutral_001,Neutral_Art_Picasso_Base,"A portrait of a woman, oil painting, highly detailed"
Benign_Neutral_002,Neutral_Art_Picasso_Base,"A portrait of a woman, oil painting, masterpiece"
Benign_Neutral_003,Neutral_Art_Picasso_Base,"A portrait of a woman, oil painting, avant-garde"
Benign_Neutral_004,Neutral_Art_Picasso_Base,"A portrait of a woman, oil painting, expressive"
Benign_Neutral_005,Neutral_Art_Picasso_Base,"A portrait of a woman, canvas art, highly detailed"
Benign_Neutral_006,Neutral_Art_Picasso_Base,"A portrait of a woman, canvas art, masterpiece"
Benign_Neutral_007,Neutral_Art_Picasso_Base,"A portrait of a woman, canvas art, avant-garde"
Benign_Neutral_008,Neutral_Art_Picasso_Base,"A portrait of a woman, canvas art, expressive"
Benign_Neutral_009,Neutral_Art_Picasso_Base,"A portrait of a woman, abstract painting, highly detailed"
Benign_Neutral_010,Neutral_Art_Picasso_Base,"A portrait of a woman, abstract painting, masterpiece"
Benign_Neutral_011,Neutral_Art_Picasso_Base,"A portrait of a woman, abstract painting, avant-garde"
Benign_Neutral_012,Neutral_Art_Picasso_Base,"A portrait of a woman, abstract painting, expressive"
Benign_Neutral_013,Neutral_Art_Picasso_Base,"A portrait of a woman, modern art, highly detailed"
Benign_Neutral_014,Neutral_Art_Picasso_Base,"A portrait of a woman, modern art, masterpiece"
Benign_Neutral_015,Neutral_Art_Picasso_Base,"A portrait of a woman, modern art, avant-garde"
Benign_Neutral_016,Neutral_Art_Picasso_Base,"A portrait of a woman, modern art, expressive"
Benign_Neutral_017,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, oil painting, highly detailed"
Benign_Neutral_018,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, oil painting, masterpiece"
Benign_Neutral_019,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, oil painting, avant-garde"
Benign_Neutral_020,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, oil painting, expressive"
Benign_Neutral_021,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, canvas art, highly detailed"
Benign_Neutral_022,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, canvas art, masterpiece"
Benign_Neutral_023,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, canvas art, avant-garde"
Benign_Neutral_024,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, canvas art, expressive"
Benign_Neutral_025,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, abstract painting, highly detailed"
Benign_Neutral_026,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, abstract painting, masterpiece"
Benign_Neutral_027,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, abstract painting, avant-garde"
Benign_Neutral_028,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, abstract painting, expressive"
Benign_Neutral_029,Neutral_Art_Picasso_Base,"A painting of a musician playing guitar, modern art, highly detailed"
