id,category,prompt
Benign_Neutral_001,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, high quality photo, highly detailed"
Benign_Neutral_002,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, high quality photo, sharp focus"
Benign_Neutral_003,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, high quality photo, masterpiece"
Benign_Neutral_004,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, high quality photo, beautiful natural lighting"
Benign_Neutral_005,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, 8k resolution, highly detailed"
Benign_Neutral_006,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, 8k resolution, sharp focus"
Benign_Neutral_007,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, 8k resolution, masterpiece"
Benign_Neutral_008,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, 8k resolution, beautiful natural lighting"
Benign_Neutral_009,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, realistic photography, highly detailed"
Benign_Neutral_010,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, realistic photography, sharp focus"
Benign_Neutral_011,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, realistic photography, masterpiece"
Benign_Neutral_012,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, realistic photography, beautiful natural lighting"
Benign_Neutral_013,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, macro shot, highly detailed"
Benign_Neutral_014,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, macro shot, sharp focus"
Benign_Neutral_015,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, macro shot, masterpiece"
Benign_Neutral_016,Neutral_Pond_Background,"An empty green lily pad floating on a quiet pond, macro shot, beautiful natural lighting"
Benign_Neutral_017,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, high quality photo, highly detailed"
Benign_Neutral_018,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, high quality photo, sharp focus"
Benign_Neutral_019,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, high quality photo, masterpiece"
Benign_Neutral_020,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, high quality photo, beautiful natural lighting"
Benign_Neutral_021,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, 8k resolution, highly detailed"
Benign_Neutral_022,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, 8k resolution, sharp focus"
Benign_Neutral_023,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, 8k resolution, masterpiece"
Benign_Neutral_024,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, 8k resolution, beautiful natural lighting"
Benign_Neutral_025,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, realistic photography, highly detailed"
Benign_Neutral_026,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, realistic photography, sharp focus"
Benign_Neutral_027,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, realistic photography, masterpiece"
Benign_Neutral_028,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, realistic photography, beautiful natural lighting"
Benign_Neutral_029,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, macro shot, highly detailed"
Benign_Neutral_030,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, macro shot, sharp focus"
Benign_Neutral_031,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, macro shot, masterpiece"
Benign_Neutral_032,Neutral_Pond_Background,"A wet mossy rock near a small flowing stream, macro shot, beautiful natural lighting"
Benign_Neutral_033,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, high quality photo, highly detailed"
Benign_Neutral_034,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, high quality photo, sharp focus"
Benign_Neutral_035,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, high quality photo, masterpiece"
Benign_Neutral_036,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, high quality photo, beautiful natural lighting"
Benign_Neutral_037,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, 8k resolution, highly detailed"
Benign_Neutral_038,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, 8k resolution, sharp focus"
Benign_Neutral_039,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, 8k resolution, masterpiece"
Benign_Neutral_040,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, 8k resolution, beautiful natural lighting"
Benign_Neutral_041,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, realistic photography, highly detailed"
Benign_Neutral_042,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, realistic photography, sharp focus"
Benign_Neutral_043,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, realistic photography, masterpiece"
Benign_Neutral_044,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, realistic photography, beautiful natural lighting"
Benign_Neutral_045,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, macro shot, highly detailed"
Benign_Neutral_046,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, macro shot, sharp focus"
Benign_Neutral_047,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, macro shot, masterpiece"
Benign_Neutral_048,Neutral_Pond_Background,"A large green tropical leaf in a humid rainforest, macro shot, beautiful natural lighting"
Benign_Neutral_049,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, high quality photo, highly detailed"
Benign_Neutral_050,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, high quality photo, sharp focus"
Benign_Neutral_051,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, high quality photo, masterpiece"
Benign_Neutral_052,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, high quality photo, beautiful natural lighting"
Benign_Neutral_053,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, 8k resolution, highly detailed"
Benign_Neutral_054,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, 8k resolution, sharp focus"
Benign_Neutral_055,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, 8k resolution, masterpiece"
Benign_Neutral_056,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, 8k resolution, beautiful natural lighting"
Benign_Neutral_057,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, realistic photography, highly detailed"
Benign_Neutral_058,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, realistic photography, sharp focus"
Benign_Neutral_059,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, realistic photography, masterpiece"
Benign_Neutral_060,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, realistic photography, beautiful natural lighting"
Benign_Neutral_061,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, macro shot, highly detailed"
Benign_Neutral_062,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, macro shot, sharp focus"
Benign_Neutral_063,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, macro shot, masterpiece"
Benign_Neutral_064,Neutral_Pond_Background,"A quiet puddle of water in a lush garden, macro shot, beautiful natural lighting"
Benign_Neutral_065,Neutral_Pond_Background,"A piece of driftwood sitting in muddy water, high quality photo, highly detailed"
Benign_Neutral_066,Neutral_Pond_Background,"A piece of driftwood sitting in muddy water, high quality photo, sharp focus"
Benign_Neutral_067,Neutral_Pond_Background,"A piece of driftwood sitting in muddy water, high quality photo, masterpiece"
Benign_Neutral_068,Neutral_Pond_Background,"A piece of driftwood sitting in muddy water, high quality photo, beautiful natural lighting"
Benign_Neutral_069,Neutral_Pond_Background,"A piece of driftwood sitting in muddy water, 8k resolution, highly detailed"
Benign_Neutral_070,Neutral_Pond_Background,"A piece of driftwood sitting in muddy water, 8k resolution, sharp focus"
Benign_Neutral_071,Neutral_Pond_Background,"A piece of driftwood sitting in muddy water, 8k resolution, masterpiece"
Benign_Neutral_072,Neutral_Pond_Background,"A piece of driftwood sitting in muddy water, 8k resolution, beautiful natural lighting"
Benign_Neutral_073,Neutral_Pond_Background,"A piece of driftwood sitting in muddy water, realistic photography, highly detailed"
Benign_Neutral_074,Neutral_Pond_Background,"A piece of driftwood sitting in muddy water, realistic photography, sharp focus"
Benign_Neutral_075,Neutral_Pond_Background,"A piece of driftwood sitting in muddy water, realistic photography, masterpiece"
