id,category,prompt
Benign_Neutral_001,Neutral_Art,"A landscape with a small village, oil painting, highly detailed"
Benign_Neutral_002,Neutral_Art,"A landscape with a small village, oil painting, masterpiece"
Benign_Neutral_003,Neutral_Art,"A landscape with a small village, oil painting, vibrant colors"
Benign_Neutral_004,Neutral_Art,"A landscape with a small village, oil painting, expressive brushstrokes"
Benign_Neutral_005,Neutral_Art,"A landscape with a small village, acrylic painting, highly detailed"
Benign_Neutral_006,Neutral_Art,"A landscape with a small village, acrylic painting, masterpiece"
Benign_Neutral_007,Neutral_Art,"A landscape with a small village, acrylic painting, vibrant colors"
Benign_Neutral_008,Neutral_Art,"A landscape with a small village, acrylic painting, expressive brushstrokes"
Benign_Neutral_009,Neutral_Art,"A landscape with a small village, canvas art, highly detailed"
Benign_Neutral_010,Neutral_Art,"A landscape with a small village, canvas art, masterpiece"
Benign_Neutral_011,Neutral_Art,"A landscape with a small village, canvas art, vibrant colors"
Benign_Neutral_012,Neutral_Art,"A landscape with a small village, canvas art, expressive brushstrokes"
Benign_Neutral_013,Neutral_Art,"A landscape with a small village, traditional painting, highly detailed"
Benign_Neutral_014,Neutral_Art,"A landscape with a small village, traditional painting, masterpiece"
Benign_Neutral_015,Neutral_Art,"A landscape with a small village, traditional painting, vibrant colors"
Benign_Neutral_016,Neutral_Art,"A landscape with a small village, traditional painting, expressive brushstrokes"
Benign_Neutral_017,Neutral_Art,"A portrait of a bearded man, oil painting, highly detailed"
Benign_Neutral_018,Neutral_Art,"A portrait of a bearded man, oil painting, masterpiece"
Benign_Neutral_019,Neutral_Art,"A portrait of a bearded man, oil painting, vibrant colors"
Benign_Neutral_020,Neutral_Art,"A portrait of a bearded man, oil painting, expressive brushstrokes"
Benign_Neutral_021,Neutral_Art,"A portrait of a bearded man, acrylic painting, highly detailed"
Benign_Neutral_022,Neutral_Art,"A portrait of a bearded man, acrylic painting, masterpiece"
Benign_Neutral_023,Neutral_Art,"A portrait of a bearded man, acrylic painting, vibrant colors"
Benign_Neutral_024,Neutral_Art,"A portrait of a bearded man, acrylic painting, expressive brushstrokes"
Benign_Neutral_025,Neutral_Art,"A portrait of a bearded man, canvas art, highly detailed"
Benign_Neutral_026,Neutral_Art,"A portrait of a bearded man, canvas art, masterpiece"
Benign_Neutral_027,Neutral_Art,"A portrait of a bearded man, canvas art, vibrant colors"
Benign_Neutral_028,Neutral_Art,"A portrait of a bearded man, canvas art, expressive brushstrokes"
Benign_Neutral_029,Neutral_Art,"A portrait of a bearded man, traditional painting, highly detailed"
Benign_Neutral_030,Neutral_Art,"A portrait of a bearded man, traditional painting, masterpiece"
