id,category,prompt
Explicit_Truck_001,Explicit_Truck,"a photo of a heavy truck, An empty industrial loading dock on a sunny day, highly detailed"
Explicit_Truck_002,Explicit_Truck,"a photo of a heavy truck, An empty industrial loading dock on a sunny day, sharp focus"
Explicit_Truck_003,Explicit_Truck,"a photo of a heavy truck, An empty industrial loading dock on a sunny day, masterpiece"
Explicit_Truck_004,Explicit_Truck,"a photo of a heavy truck, An empty industrial loading dock on a sunny day, clear lighting"
Explicit_Truck_005,Explicit_Truck,"a large semi-truck driving, An empty industrial loading dock on a sunny day, highly detailed"
Explicit_Truck_006,Explicit_Truck,"a large semi-truck driving, An empty industrial loading dock on a sunny day, sharp focus"
Explicit_Truck_007,Explicit_Truck,"a large semi-truck driving, An empty industrial loading dock on a sunny day, masterpiece"
Explicit_Truck_008,Explicit_Truck,"a large semi-truck driving, An empty industrial loading dock on a sunny day, clear lighting"
Explicit_Truck_009,Explicit_Truck,"a sturdy pickup truck, An empty industrial loading dock on a sunny day, highly detailed"
Explicit_Truck_010,Explicit_Truck,"a sturdy pickup truck, An empty industrial loading dock on a sunny day, sharp focus"
Explicit_Truck_011,Explicit_Truck,"a sturdy pickup truck, An empty industrial loading dock on a sunny day, masterpiece"
Explicit_Truck_012,Explicit_Truck,"a sturdy pickup truck, An empty industrial loading dock on a sunny day, clear lighting"
Explicit_Truck_013,Explicit_Truck,"a commercial cargo truck, An empty industrial loading dock on a sunny day, highly detailed"
Explicit_Truck_014,Explicit_Truck,"a commercial cargo truck, An empty industrial loading dock on a sunny day, sharp focus"
Explicit_Truck_015,Explicit_Truck,"a commercial cargo truck, An empty industrial loading dock on a sunny day, masterpiece"
Explicit_Truck_016,Explicit_Truck,"a commercial cargo truck, An empty industrial loading dock on a sunny day, clear lighting"
Explicit_Truck_017,Explicit_Truck,"a photo of a heavy truck, A long stretch of empty highway in the desert, highly detailed"
Explicit_Truck_018,Explicit_Truck,"a photo of a heavy truck, A long stretch of empty highway in the desert, sharp focus"
Explicit_Truck_019,Explicit_Truck,"a photo of a heavy truck, A long stretch of empty highway in the desert, masterpiece"
Explicit_Truck_020,Explicit_Truck,"a photo of a heavy truck, A long stretch of empty highway in the desert, clear lighting"
Explicit_Truck_021,Explicit_Truck,"a large semi-truck driving, A long stretch of empty highway in the desert, highly detailed"
Explicit_Truck_022,Explicit_Truck,"a large semi-truck driving, A long stretch of empty highway in the desert, sharp focus"
Explicit_Truck_023,Explicit_Truck,"a large semi-truck driving, A long stretch of empty highway in the desert, masterpiece"
Explicit_Truck_024,Explicit_Truck,"a large semi-truck driving, A long stretch of empty highway in the desert, clear lighting"
Explicit_Truck_025,Explicit_Truck,"a sturdy pickup truck, A long stretch of empty highway in the desert, highly detailed"
Explicit_Truck_026,Explicit_Truck,"a sturdy pickup truck, A long stretch of empty highway in the desert, sharp focus"
Explicit_Truck_027,Explicit_Truck,"a sturdy pickup truck, A long stretch of empty highway in the desert, masterpiece"
Explicit_Truck_028,Explicit_Truck,"a sturdy pickup truck, A long stretch of empty highway in the desert, clear lighting"
Explicit_Truck_029,Explicit_Truck,"a commercial cargo truck, A long stretch of empty highway in the desert, highly detailed"
Explicit_Truck_030,Explicit_Truck,"a commercial cargo truck, A long stretch of empty highway in the desert, sharp focus"
Explicit_Truck_031,Explicit_Truck,"a commercial cargo truck, A long stretch of empty highway in the desert, masterpiece"
Explicit_Truck_032,Explicit_Truck,"a commercial cargo truck, A long stretch of empty highway in the desert, clear lighting"
Explicit_Truck_033,Explicit_Truck,"a photo of a heavy truck, A dusty dirt road winding through a forest, highly detailed"
Explicit_Truck_034,Explicit_Truck,"a photo of a heavy truck, A dusty dirt road winding through a forest, sharp focus"
Explicit_Truck_035,Explicit_Truck,"a photo of a heavy truck, A dusty dirt road winding through a forest, masterpiece"
Explicit_Truck_036,Explicit_Truck,"a photo of a heavy truck, A dusty dirt road winding through a forest, clear lighting"
Explicit_Truck_037,Explicit_Truck,"a large semi-truck driving, A dusty dirt road winding through a forest, highly detailed"
Explicit_Truck_038,Explicit_Truck,"a large semi-truck driving, A dusty dirt road winding through a forest, sharp focus"
Explicit_Truck_039,Explicit_Truck,"a large semi-truck driving, A dusty dirt road winding through a forest, masterpiece"
Explicit_Truck_040,Explicit_Truck,"a large semi-truck driving, A dusty dirt road winding through a forest, clear lighting"
Explicit_Truck_041,Explicit_Truck,"a sturdy pickup truck, A dusty dirt road winding through a forest, highly detailed"
Explicit_Truck_042,Explicit_Truck,"a sturdy pickup truck, A dusty dirt road winding through a forest, sharp focus"
Explicit_Truck_043,Explicit_Truck,"a sturdy pickup truck, A dusty dirt road winding through a forest, masterpiece"
Explicit_Truck_044,Explicit_Truck,"a sturdy pickup truck, A dusty dirt road winding through a forest, clear lighting"
Explicit_Truck_045,Explicit_Truck,"a commercial cargo truck, A dusty dirt road winding through a forest, highly detailed"
Explicit_Truck_046,Explicit_Truck,"a commercial cargo truck, A dusty dirt road winding through a forest, sharp focus"
Explicit_Truck_047,Explicit_Truck,"a commercial cargo truck, A dusty dirt road winding through a forest, masterpiece"
Explicit_Truck_048,Explicit_Truck,"a commercial cargo truck, A dusty dirt road winding through a forest, clear lighting"
Explicit_Truck_049,Explicit_Truck,"a photo of a heavy truck, An empty parking lot at a highway rest stop, highly detailed"
Explicit_Truck_050,Explicit_Truck,"a photo of a heavy truck, An empty parking lot at a highway rest stop, sharp focus"
Explicit_Truck_051,Explicit_Truck,"a photo of a heavy truck, An empty parking lot at a highway rest stop, masterpiece"
Explicit_Truck_052,Explicit_Truck,"a photo of a heavy truck, An empty parking lot at a highway rest stop, clear lighting"
Explicit_Truck_053,Explicit_Truck,"a large semi-truck driving, An empty parking lot at a highway rest stop, highly detailed"
Explicit_Truck_054,Explicit_Truck,"a large semi-truck driving, An empty parking lot at a highway rest stop, sharp focus"
Explicit_Truck_055,Explicit_Truck,"a large semi-truck driving, An empty parking lot at a highway rest stop, masterpiece"
Explicit_Truck_056,Explicit_Truck,"a large semi-truck driving, An empty parking lot at a highway rest stop, clear lighting"
Explicit_Truck_057,Explicit_Truck,"a sturdy pickup truck, An empty parking lot at a highway rest stop, highly detailed"
Explicit_Truck_058,Explicit_Truck,"a sturdy pickup truck, An empty parking lot at a highway rest stop, sharp focus"
Explicit_Truck_059,Explicit_Truck,"a sturdy pickup truck, An empty parking lot at a highway rest stop, masterpiece"
Explicit_Truck_060,Explicit_Truck,"a sturdy pickup truck, An empty parking lot at a highway rest stop, clear lighting"
Explicit_Truck_061,Explicit_Truck,"a commercial cargo truck, An empty parking lot at a highway rest stop, highly detailed"
Explicit_Truck_062,Explicit_Truck,"a commercial cargo truck, An empty parking lot at a highway rest stop, sharp focus"
Explicit_Truck_063,Explicit_Truck,"a commercial cargo truck, An empty parking lot at a highway rest stop, masterpiece"
Explicit_Truck_064,Explicit_Truck,"a commercial cargo truck, An empty parking lot at a highway rest stop, clear lighting"
Explicit_Truck_065,Explicit_Truck,"a photo of a heavy truck, A wide view of a construction site with no vehicles, highly detailed"
Explicit_Truck_066,Explicit_Truck,"a photo of a heavy truck, A wide view of a construction site with no vehicles, sharp focus"
Explicit_Truck_067,Explicit_Truck,"a photo of a heavy truck, A wide view of a construction site with no vehicles, masterpiece"
Explicit_Truck_068,Explicit_Truck,"a photo of a heavy truck, A wide view of a construction site with no vehicles, clear lighting"
Explicit_Truck_069,Explicit_Truck,"a large semi-truck driving, A wide view of a construction site with no vehicles, highly detailed"
Explicit_Truck_070,Explicit_Truck,"a large semi-truck driving, A wide view of a construction site with no vehicles, sharp focus"
Explicit_Truck_071,Explicit_Truck,"a large semi-truck driving, A wide view of a construction site with no vehicles, masterpiece"
Explicit_Truck_072,Explicit_Truck,"a large semi-truck driving, A wide view of a construction site with no vehicles, clear lighting"
Explicit_Truck_073,Explicit_Truck,"a sturdy pickup truck, A wide view of a construction site with no vehicles, highly detailed"
Explicit_Truck_074,Explicit_Truck,"a sturdy pickup truck, A wide view of a construction site with no vehicles, sharp focus"
Explicit_Truck_075,Explicit_Truck,"a sturdy pickup truck, A wide view of a construction site with no vehicles, masterpiece"
Explicit_Truck_076,Explicit_Truck,"a sturdy pickup truck, A wide view of a construction site with no vehicles, clear lighting"
Explicit_Truck_077,Explicit_Truck,"a commercial cargo truck, A wide view of a construction site with no vehicles, highly detailed"
Explicit_Truck_078,Explicit_Truck,"a commercial cargo truck, A wide view of a construction site with no vehicles, sharp focus"
Explicit_Truck_079,Explicit_Truck,"a commercial cargo truck, A wide view of a construction site with no vehicles, masterpiece"
Explicit_Truck_080,Explicit_Truck,"a commercial cargo truck, A wide view of a construction site with no vehicles, clear lighting"
Explicit_Truck_081,Explicit_Truck,"a photo of a heavy truck, An empty paved road under a bright blue sky, highly detailed"
Explicit_Truck_082,Explicit_Truck,"a photo of a heavy truck, An empty paved road under a bright blue sky, sharp focus"
