id,category,prompt
Explicit_Cat_001,Explicit_Cat,"a photo of a cute cat, An empty cozy armchair in a warm living room, highly detailed"
Explicit_Cat_002,Explicit_Cat,"a photo of a cute cat, An empty cozy armchair in a warm living room, sharp focus"
Explicit_Cat_003,Explicit_Cat,"a photo of a cute cat, An empty cozy armchair in a warm living room, masterpiece"
Explicit_Cat_004,Explicit_Cat,"a photo of a cute cat, An empty cozy armchair in a warm living room, beautiful warm lighting"
Explicit_Cat_005,Explicit_Cat,"a fluffy kitten sitting, An empty cozy armchair in a warm living room, highly detailed"
Explicit_Cat_006,Explicit_Cat,"a fluffy kitten sitting, An empty cozy armchair in a warm living room, sharp focus"
Explicit_Cat_007,Explicit_Cat,"a fluffy kitten sitting, An empty cozy armchair in a warm living room, masterpiece"
Explicit_Cat_008,Explicit_Cat,"a fluffy kitten sitting, An empty cozy armchair in a warm living room, beautiful warm lighting"
Explicit_Cat_009,Explicit_Cat,"a domestic cat resting, An empty cozy armchair in a warm living room, highly detailed"
Explicit_Cat_010,Explicit_Cat,"a domestic cat resting, An empty cozy armchair in a warm living room, sharp focus"
Explicit_Cat_011,Explicit_Cat,"a domestic cat resting, An empty cozy armchair in a warm living room, masterpiece"
Explicit_Cat_012,Explicit_Cat,"a domestic cat resting, An empty cozy armchair in a warm living room, beautiful warm lighting"
Explicit_Cat_013,Explicit_Cat,"a beautiful tabby cat, An empty cozy armchair in a warm living room, highly detailed"
Explicit_Cat_014,Explicit_Cat,"a beautiful tabby cat, An empty cozy armchair in a warm living room, sharp focus"
Explicit_Cat_015,Explicit_Cat,"a beautiful tabby cat, An empty cozy armchair in a warm living room, masterpiece"
Explicit_Cat_016,Explicit_Cat,"a beautiful tabby cat, An empty cozy armchair in a warm living room, beautiful warm lighting"
Explicit_Cat_017,Explicit_Cat,"a photo of a cute cat, A sunny windowsill looking out into a green garden, highly detailed"
Explicit_Cat_018,Explicit_Cat,"a photo of a cute cat, A sunny windowsill looking out into a green garden, sharp focus"
Explicit_Cat_019,Explicit_Cat,"a photo of a cute cat, A sunny windowsill looking out into a green garden, masterpiece"
Explicit_Cat_020,Explicit_Cat,"a photo of a cute cat, A sunny windowsill looking out into a green garden, beautiful warm lighting"
Explicit_Cat_021,Explicit_Cat,"a fluffy kitten sitting, A sunny windowsill looking out into a green garden, highly detailed"
Explicit_Cat_022,Explicit_Cat,"a fluffy kitten sitting, A sunny windowsill looking out into a green garden, sharp focus"
Explicit_Cat_023,Explicit_Cat,"a fluffy kitten sitting, A sunny windowsill looking out into a green garden, masterpiece"
Explicit_Cat_024,Explicit_Cat,"a fluffy kitten sitting, A sunny windowsill looking out into a green garden, beautiful warm lighting"
