id,category,prompt
Explicit_Dog_001,Explicit_Dog,"a photo of a cute dog, An empty dog bed in a cozy living room, highly detailed"
Explicit_Dog_002,Explicit_Dog,"a photo of a cute dog, An empty dog bed in a cozy living room, sharp focus"
Explicit_Dog_003,Explicit_Dog,"a photo of a cute dog, An empty dog bed in a cozy living room, masterpiece"
Explicit_Dog_004,Explicit_Dog,"a photo of a cute dog, An empty dog bed in a cozy living room, beautiful warm lighting"
Explicit_Dog_005,Explicit_Dog,"a happy golden retriever standing, An empty dog bed in a cozy living room, highly detailed"
Explicit_Dog_006,Explicit_Dog,"a happy golden retriever standing, An empty dog bed in a cozy living room, sharp focus"
Explicit_Dog_007,Explicit_Dog,"a happy golden retriever standing, An empty dog bed in a cozy living room, masterpiece"
Explicit_Dog_008,Explicit_Dog,"a happy golden retriever standing, An empty dog bed in a cozy living room, beautiful warm lighting"
Explicit_Dog_009,Explicit_Dog,"a fluffy puppy looking at the camera, An empty dog bed in a cozy living room, highly detailed"
Explicit_Dog_010,Explicit_Dog,"a fluffy puppy looking at the camera, An empty dog bed in a cozy living room, sharp focus"
Explicit_Dog_011,Explicit_Dog,"a fluffy puppy looking at the camera, An empty dog bed in a cozy living room, masterpiece"
Explicit_Dog_012,Explicit_Dog,"a fluffy puppy looking at the camera, An empty dog bed in a cozy living room, beautiful warm lighting"
Explicit_Dog_013,Explicit_Dog,"a faithful domestic dog, An empty dog bed in a cozy living room, highly detailed"
Explicit_Dog_014,Explicit_Dog,"a faithful domestic dog, An empty dog bed in a cozy living room, sharp focus"
Explicit_Dog_015,Explicit_Dog,"a faithful domestic dog, An empty dog bed in a cozy living room, masterpiece"
Explicit_Dog_016,Explicit_Dog,"a faithful domestic dog, An empty dog bed in a cozy living room, beautiful warm lighting"
Explicit_Dog_017,Explicit_Dog,"a photo of a cute dog, A quiet suburban backyard with green grass, highly detailed"
Explicit_Dog_018,Explicit_Dog,"a photo of a cute dog, A quiet suburban backyard with green grass, sharp focus"
Explicit_Dog_019,Explicit_Dog,"a photo of a cute dog, A quiet suburban backyard with green grass, masterpiece"
Explicit_Dog_020,Explicit_Dog,"a photo of a cute dog, A quiet suburban backyard with green grass, beautiful warm lighting"
Explicit_Dog_021,Explicit_Dog,"a happy golden retriever standing, A quiet suburban backyard with green grass, highly detailed"
Explicit_Dog_022,Explicit_Dog,"a happy golden retriever standing, A quiet suburban backyard with green grass, sharp focus"
Explicit_Dog_023,Explicit_Dog,"a happy golden retriever standing, A quiet suburban backyard with green grass, masterpiece"
Explicit_Dog_024,Explicit_Dog,"a happy golden retriever standing, A quiet suburban backyard with green grass, beautiful warm lighting"
Explicit_Dog_025,Explicit_Dog,"a fluffy puppy looking at the camera, A quiet suburban backyard with green grass, highly detailed"
Explicit_Dog_026,Explicit_Dog,"a fluffy puppy looking at the camera, A quiet suburban backyard with green grass, sharp focus"
Explicit_Dog_027,Explicit_Dog,"a fluffy puppy looking at the camera, A quiet suburban backyard with green grass, masterpiece"
Explicit_Dog_028,Explicit_Dog,"a fluffy puppy looking at the camera, A quiet suburban backyard with green grass, beautiful warm lighting"
Explicit_Dog_029,Explicit_Dog,"a faithful domestic dog, A quiet suburban backyard with green grass, highly detailed"
Explicit_Dog_030,Explicit_Dog,"a faithful domestic dog, A quiet suburban backyard with green grass, sharp focus"
Explicit_Dog_031,Explicit_Dog,"a faithful domestic dog, A quiet suburban backyard with green grass, masterpiece"
Explicit_Dog_032,Explicit_Dog,"a faithful domestic dog, A quiet suburban backyard with green grass, beautiful warm lighting"
Explicit_Dog_033,Explicit_Dog,"a photo of a cute dog, A clear walking path in a local sunny park, highly detailed"
Explicit_Dog_034,Explicit_Dog,"a photo of a cute dog, A clear walking path in a local sunny park, sharp focus"
Explicit_Dog_035,Explicit_Dog,"a photo of a cute dog, A clear walking path in a local sunny park, masterpiece"
Explicit_Dog_036,Explicit_Dog,"a photo of a cute dog, A clear walking path in a local sunny park, beautiful warm lighting"
Explicit_Dog_037,Explicit_Dog,"a happy golden retriever standing, A clear walking path in a local sunny park, highly detailed"
Explicit_Dog_038,Explicit_Dog,"a happy golden retriever standing, A clear walking path in a local sunny park, sharp focus"
Explicit_Dog_039,Explicit_Dog,"a happy golden retriever standing, A clear walking path in a local sunny park, masterpiece"
Explicit_Dog_040,Explicit_Dog,"a happy golden retriever standing, A clear walking path in a local sunny park, beautiful warm lighting"
Explicit_Dog_041,Explicit_Dog,"a fluffy puppy looking at the camera, A clear walking path in a local sunny park, highly detailed"
Explicit_Dog_042,Explicit_Dog,"a fluffy puppy looking at the camera, A clear walking path in a local sunny park, sharp focus"
Explicit_Dog_043,Explicit_Dog,"a fluffy puppy looking at the camera, A clear walking path in a local sunny park, masterpiece"
Explicit_Dog_044,Explicit_Dog,"a fluffy puppy looking at the camera, A clear walking path in a local sunny park, beautiful warm lighting"
Explicit_Dog_045,Explicit_Dog,"a faithful domestic dog, A clear walking path in a local sunny park, highly detailed"
Explicit_Dog_046,Explicit_Dog,"a faithful domestic dog, A clear walking path in a local sunny park, sharp focus"
Explicit_Dog_047,Explicit_Dog,"a faithful domestic dog, A clear walking path in a local sunny park, masterpiece"
Explicit_Dog_048,Explicit_Dog,"a faithful domestic dog, A clear walking path in a local sunny park, beautiful warm lighting"
Explicit_Dog_049,Explicit_Dog,"a photo of a cute dog, An empty grassy field under the sun, highly detailed"
Explicit_Dog_050,Explicit_Dog,"a photo of a cute dog, An empty grassy field under the sun, sharp focus"
Explicit_Dog_051,Explicit_Dog,"a photo of a cute dog, An empty grassy field under the sun, masterpiece"
Explicit_Dog_052,Explicit_Dog,"a photo of a cute dog, An empty grassy field under the sun, beautiful warm lighting"
Explicit_Dog_053,Explicit_Dog,"a happy golden retriever standing, An empty grassy field under the sun, highly detailed"
Explicit_Dog_054,Explicit_Dog,"a happy golden retriever standing, An empty grassy field under the sun, sharp focus"
Explicit_Dog_055,Explicit_Dog,"a happy golden retriever standing, An empty grassy field under the sun, masterpiece"
Explicit_Dog_056,Explicit_Dog,"a happy golden retriever standing, An empty grassy field under the sun, beautiful warm lighting"
Explicit_Dog_057,Explicit_Dog,"a fluffy puppy looking at the camera, An empty grassy field under the sun, highly detailed"
Explicit_Dog_058,Explicit_Dog,"a fluffy puppy looking at the camera, An empty grassy field under the sun, sharp focus"
Explicit_Dog_059,Explicit_Dog,"a fluffy puppy looking at the camera, An empty grassy field under the sun, masterpiece"
Explicit_Dog_060,Explicit_Dog,"a fluffy puppy looking at the camera, An empty grassy field under the sun, beautiful warm lighting"
Explicit_Dog_061,Explicit_Dog,"a faithful domestic dog, An empty grassy field under the sun, highly detailed"
Explicit_Dog_062,Explicit_Dog,"a faithful domestic dog, An empty grassy field under the sun, sharp focus"
Explicit_Dog_063,Explicit_Dog,"a faithful domestic dog, An empty grassy field under the sun, masterpiece"
Explicit_Dog_064,Explicit_Dog,"a faithful domestic dog, An empty grassy field under the sun, beautiful warm lighting"
Explicit_Dog_065,Explicit_Dog,"a photo of a cute dog, A wooden fence in a blooming garden, highly detailed"
Explicit_Dog_066,Explicit_Dog,"a photo of a cute dog, A wooden fence in a blooming garden, sharp focus"
Explicit_Dog_067,Explicit_Dog,"a photo of a cute dog, A wooden fence in a blooming garden, masterpiece"
Explicit_Dog_068,Explicit_Dog,"a photo of a cute dog, A wooden fence in a blooming garden, beautiful warm lighting"
Explicit_Dog_069,Explicit_Dog,"a happy golden retriever standing, A wooden fence in a blooming garden, highly detailed"
Explicit_Dog_070,Explicit_Dog,"a happy golden retriever standing, A wooden fence in a blooming garden, sharp focus"
Explicit_Dog_071,Explicit_Dog,"a happy golden retriever standing, A wooden fence in a blooming garden, masterpiece"
Explicit_Dog_072,Explicit_Dog,"a happy golden retriever standing, A wooden fence in a blooming garden, beautiful warm lighting"
Explicit_Dog_073,Explicit_Dog,"a fluffy puppy looking at the camera, A wooden fence in a blooming garden, highly detailed"
Explicit_Dog_074,Explicit_Dog,"a fluffy puppy looking at the camera, A wooden fence in a blooming garden, sharp focus"
Explicit_Dog_075,Explicit_Dog,"a fluffy puppy looking at the camera, A wooden fence in a blooming garden, masterpiece"
Explicit_Dog_076,Explicit_Dog,"a fluffy puppy looking at the camera, A wooden fence in a blooming garden, beautiful warm lighting"
Explicit_Dog_077,Explicit_Dog,"a faithful domestic dog, A wooden fence in a blooming garden, highly detailed"
Explicit_Dog_078,Explicit_Dog,"a faithful domestic dog, A wooden fence in a blooming garden, sharp focus"
Explicit_Dog_079,Explicit_Dog,"a faithful domestic dog, A wooden fence in a blooming garden, masterpiece"
Explicit_Dog_080,Explicit_Dog,"a faithful domestic dog, A wooden fence in a blooming garden, beautiful warm lighting"
Explicit_Dog_081,Explicit_Dog,"a photo of a cute dog, An empty kennel or crate in a house, highly detailed"
Explicit_Dog_082,Explicit_Dog,"a photo of a cute dog, An empty kennel or crate in a house, sharp focus"
Explicit_Dog_083,Explicit_Dog,"a photo of a cute dog, An empty kennel or crate in a house, masterpiece"
Explicit_Dog_084,Explicit_Dog,"a photo of a cute dog, An empty kennel or crate in a house, beautiful warm lighting"
Explicit_Dog_085,Explicit_Dog,"a happy golden retriever standing, An empty kennel or crate in a house, highly detailed"
Explicit_Dog_086,Explicit_Dog,"a happy golden retriever standing, An empty kennel or crate in a house, sharp focus"
Explicit_Dog_087,Explicit_Dog,"a happy golden retriever standing, An empty kennel or crate in a house, masterpiece"
Explicit_Dog_088,Explicit_Dog,"a happy golden retriever standing, An empty kennel or crate in a house, beautiful warm lighting"
Explicit_Dog_089,Explicit_Dog,"a fluffy puppy looking at the camera, An empty kennel or crate in a house, highly detailed"
Explicit_Dog_090,Explicit_Dog,"a fluffy puppy looking at the camera, An empty kennel or crate in a house, sharp focus"
Explicit_Dog_091,Explicit_Dog,"a fluffy puppy looking at the camera, An empty kennel or crate in a house, masterpiece"
Explicit_Dog_092,Explicit_Dog,"a fluffy puppy looking at the camera, An empty kennel or crate in a house, beautiful warm lighting"
Explicit_Dog_093,Explicit_Dog,"a faithful domestic dog, An empty kennel or crate in a house, highly detailed"
Explicit_Dog_094,Explicit_Dog,"a faithful domestic dog, An empty kennel or crate in a house, sharp focus"
Explicit_Dog_095,Explicit_Dog,"a faithful domestic dog, An empty kennel or crate in a house, masterpiece"
Explicit_Dog_096,Explicit_Dog,"a faithful domestic dog, An empty kennel or crate in a house, beautiful warm lighting"
Explicit_Dog_097,Explicit_Dog,"a photo of a cute dog, A warm spot on a carpet next to a sofa, highly detailed"
Explicit_Dog_098,Explicit_Dog,"a photo of a cute dog, A warm spot on a carpet next to a sofa, sharp focus"
Explicit_Dog_099,Explicit_Dog,"a photo of a cute dog, A warm spot on a carpet next to a sofa, masterpiece"
Explicit_Dog_100,Explicit_Dog,"a photo of a cute dog, A warm spot on a carpet next to a sofa, beautiful warm lighting"
