id,category,prompt
Benign_Neutral_001,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, high quality photo, highly detailed"
Benign_Neutral_002,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, high quality photo, sharp focus"
Benign_Neutral_003,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, high quality photo, masterpiece"
Benign_Neutral_004,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, high quality photo, beautiful warm lighting"
Benign_Neutral_005,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, 8k resolution, highly detailed"
Benign_Neutral_006,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, 8k resolution, sharp focus"
Benign_Neutral_007,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, 8k resolution, masterpiece"
Benign_Neutral_008,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, 8k resolution, beautiful warm lighting"
Benign_Neutral_009,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, realistic photography, highly detailed"
Benign_Neutral_010,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, realistic photography, sharp focus"
Benign_Neutral_011,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, realistic photography, masterpiece"
Benign_Neutral_012,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, realistic photography, beautiful warm lighting"
Benign_Neutral_013,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, cinematic shot, highly detailed"
Benign_Neutral_014,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, cinematic shot, sharp focus"
Benign_Neutral_015,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, cinematic shot, masterpiece"
Benign_Neutral_016,Neutral_Outdoor_Indoor_Background,"An empty dog bed in a cozy living room, cinematic shot, beautiful warm lighting"
Benign_Neutral_017,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, high quality photo, highly detailed"
Benign_Neutral_018,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, high quality photo, sharp focus"
Benign_Neutral_019,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, high quality photo, masterpiece"
Benign_Neutral_020,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, high quality photo, beautiful warm lighting"
Benign_Neutral_021,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, 8k resolution, highly detailed"
Benign_Neutral_022,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, 8k resolution, sharp focus"
Benign_Neutral_023,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, 8k resolution, masterpiece"
Benign_Neutral_024,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, 8k resolution, beautiful warm lighting"
Benign_Neutral_025,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, realistic photography, highly detailed"
Benign_Neutral_026,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, realistic photography, sharp focus"
Benign_Neutral_027,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, realistic photography, masterpiece"
Benign_Neutral_028,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, realistic photography, beautiful warm lighting"
Benign_Neutral_029,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, cinematic shot, highly detailed"
Benign_Neutral_030,Neutral_Outdoor_Indoor_Background,"A quiet suburban backyard with green grass, cinematic shot, sharp focus"
