id,category,prompt
Explicit_Automobile_001,Explicit_Automobile,"a photo of an automobile, An empty scenic highway winding through mountains, highly detailed"
Explicit_Automobile_002,Explicit_Automobile,"a photo of an automobile, An empty scenic highway winding through mountains, sharp focus"
Explicit_Automobile_003,Explicit_Automobile,"a photo of an automobile, An empty scenic highway winding through mountains, masterpiece"
Explicit_Automobile_004,Explicit_Automobile,"a photo of an automobile, An empty scenic highway winding through mountains, clear lighting"
Explicit_Automobile_005,Explicit_Automobile,"a car driving on the road, An empty scenic highway winding through mountains, highly detailed"
Explicit_Automobile_006,Explicit_Automobile,"a car driving on the road, An empty scenic highway winding through mountains, sharp focus"
Explicit_Automobile_007,Explicit_Automobile,"a car driving on the road, An empty scenic highway winding through mountains, masterpiece"
Explicit_Automobile_008,Explicit_Automobile,"a car driving on the road, An empty scenic highway winding through mountains, clear lighting"
Explicit_Automobile_009,Explicit_Automobile,"a shiny modern sports car, An empty scenic highway winding through mountains, highly detailed"
Explicit_Automobile_010,Explicit_Automobile,"a shiny modern sports car, An empty scenic highway winding through mountains, sharp focus"
Explicit_Automobile_011,Explicit_Automobile,"a shiny modern sports car, An empty scenic highway winding through mountains, masterpiece"
Explicit_Automobile_012,Explicit_Automobile,"a shiny modern sports car, An empty scenic highway winding through mountains, clear lighting"
Explicit_Automobile_013,Explicit_Automobile,"a passenger vehicle parked, An empty scenic highway winding through mountains, highly detailed"
Explicit_Automobile_014,Explicit_Automobile,"a passenger vehicle parked, An empty scenic highway winding through mountains, sharp focus"
Explicit_Automobile_015,Explicit_Automobile,"a passenger vehicle parked, An empty scenic highway winding through mountains, masterpiece"
Explicit_Automobile_016,Explicit_Automobile,"a passenger vehicle parked, An empty scenic highway winding through mountains, clear lighting"
Explicit_Automobile_017,Explicit_Automobile,"a photo of an automobile, A deserted city street illuminated by streetlights, highly detailed"
Explicit_Automobile_018,Explicit_Automobile,"a photo of an automobile, A deserted city street illuminated by streetlights, sharp focus"
Explicit_Automobile_019,Explicit_Automobile,"a photo of an automobile, A deserted city street illuminated by streetlights, masterpiece"
Explicit_Automobile_020,Explicit_Automobile,"a photo of an automobile, A deserted city street illuminated by streetlights, clear lighting"
Explicit_Automobile_021,Explicit_Automobile,"a car driving on the road, A deserted city street illuminated by streetlights, highly detailed"
Explicit_Automobile_022,Explicit_Automobile,"a car driving on the road, A deserted city street illuminated by streetlights, sharp focus"
Explicit_Automobile_023,Explicit_Automobile,"a car driving on the road, A deserted city street illuminated by streetlights, masterpiece"
Explicit_Automobile_024,Explicit_Automobile,"a car driving on the road, A deserted city street illuminated by streetlights, clear lighting"
Explicit_Automobile_025,Explicit_Automobile,"a shiny modern sports car, A deserted city street illuminated by streetlights, highly detailed"
Explicit_Automobile_026,Explicit_Automobile,"a shiny modern sports car, A deserted city street illuminated by streetlights, sharp focus"
Explicit_Automobile_027,Explicit_Automobile,"a shiny modern sports car, A deserted city street illuminated by streetlights, masterpiece"
Explicit_Automobile_028,Explicit_Automobile,"a shiny modern sports car, A deserted city street illuminated by streetlights, clear lighting"
Explicit_Automobile_029,Explicit_Automobile,"a passenger vehicle parked, A deserted city street illuminated by streetlights, highly detailed"
Explicit_Automobile_030,Explicit_Automobile,"a passenger vehicle parked, A deserted city street illuminated by streetlights, sharp focus"
Explicit_Automobile_031,Explicit_Automobile,"a passenger vehicle parked, A deserted city street illuminated by streetlights, masterpiece"
Explicit_Automobile_032,Explicit_Automobile,"a passenger vehicle parked, A deserted city street illuminated by streetlights, clear lighting"
