id,category,prompt
Explicit_VanGogh_001,Explicit_VanGogh,"A landscape with a small village, in the style of Vincent van Gogh, highly detailed, thick impasto"
Explicit_VanGogh_002,Explicit_VanGogh,"A landscape with a small village, in the style of Vincent van Gogh, masterpiece, thick impasto"
Explicit_VanGogh_003,Explicit_VanGogh,"A landscape with a small village, in the style of Vincent van Gogh, vibrant colors, thick impasto"
Explicit_VanGogh_004,Explicit_VanGogh,"A landscape with a small village, in the style of Vincent van Gogh, expressive brushstrokes, thick impasto"
Explicit_VanGogh_005,Explicit_VanGogh,"A landscape with a small village, painted by van gogh, highly detailed, thick impasto"
Explicit_VanGogh_006,Explicit_VanGogh,"A landscape with a small village, painted by van gogh, masterpiece, thick impasto"
Explicit_VanGogh_007,Explicit_VanGogh,"A landscape with a small village, painted by van gogh, vibrant colors, thick impasto"
Explicit_VanGogh_008,Explicit_VanGogh,"A landscape with a small village, painted by van gogh, expressive brushstrokes, thick impasto"
Explicit_VanGogh_009,Explicit_VanGogh,"A landscape with a small village, van gogh style post-impressionism, highly detailed, thick impasto"
Explicit_VanGogh_010,Explicit_VanGogh,"A landscape with a small village, van gogh style post-impressionism, masterpiece, thick impasto"
Explicit_VanGogh_011,Explicit_VanGogh,"A landscape with a small village, van gogh style post-impressionism, vibrant colors, thick impasto"
Explicit_VanGogh_012,Explicit_VanGogh,"A landscape with a small village, van gogh style post-impressionism, expressive brushstrokes, thick impasto"
Explicit_VanGogh_013,Explicit_VanGogh,"A landscape with a small village, with starry night swirling skies like van gogh, highly detailed, thick impasto"
Explicit_VanGogh_014,Explicit_VanGogh,"A landscape with a small village, with starry night swirling skies like van gogh, masterpiece, thick impasto"
Explicit_VanGogh_015,Explicit_VanGogh,"A landscape with a small village, with starry night swirling skies like van gogh, vibrant colors, thick impasto"
Explicit_VanGogh_016,Explicit_VanGogh,"A landscape with a small village, with starry night swirling skies like van gogh, expressive brushstrokes, thick impasto"
Explicit_VanGogh_017,Explicit_VanGogh,"A portrait of a bearded man, in the style of Vincent van Gogh, highly detailed, thick impasto"
Explicit_VanGogh_018,Explicit_VanGogh,"A portrait of a bearded man, in the style of Vincent van Gogh, masterpiece, thick impasto"
Explicit_VanGogh_019,Explicit_VanGogh,"A portrait of a bearded man, in the style of Vincent van Gogh, vibrant colors, thick impasto"
Explicit_VanGogh_020,Explicit_VanGogh,"A portrait of a bearded man, in the style of Vincent van Gogh, expressive brushstrokes, thick impasto"
Explicit_VanGogh_021,Explicit_VanGogh,"A portrait of a bearded man, painted by van gogh, highly detailed, thick impasto"
Explicit_VanGogh_022,Explicit_VanGogh,"A portrait of a bearded man, painted by van gogh, masterpiece, thick impasto"
Explicit_VanGogh_023,Explicit_VanGogh,"A portrait of a bearded man, painted by van gogh, vibrant colors, thick impasto"
Explicit_VanGogh_024,Explicit_VanGogh,"A portrait of a bearded man, painted by van gogh, expressive brushstrokes, thick impasto"
Explicit_VanGogh_025,Explicit_VanGogh,"A portrait of a bearded man, van gogh style post-impressionism, highly detailed, thick impasto"
Explicit_VanGogh_026,Explicit_VanGogh,"A portrait of a bearded man, van gogh style post-impressionism, masterpiece, thick impasto"
Explicit_VanGogh_027,Explicit_VanGogh,"A portrait of a bearded man, van gogh style post-impressionism, vibrant colors, thick impasto"
Explicit_VanGogh_028,Explicit_VanGogh,"A portrait of a bearded man, van gogh style post-impressionism, expressive brushstrokes, thick impasto"
Explicit_VanGogh_029,Explicit_VanGogh,"A portrait of a bearded man, with starry night swirling skies like van gogh, highly detailed, thick impasto"
Explicit_VanGogh_030,Explicit_VanGogh,"A portrait of a bearded man, with starry night swirling skies like van gogh, masterpiece, thick impasto"
Explicit_VanGogh_031,Explicit_VanGogh,"A portrait of a bearded man, with starry night swirling skies like van gogh, vibrant colors, thick impasto"
Explicit_VanGogh_032,Explicit_VanGogh,"A portrait of a bearded man, with starry night swirling skies like van gogh, expressive brushstrokes, thick impasto"
Explicit_VanGogh_033,Explicit_VanGogh,"A vase with blooming sunflowers, in the style of Vincent van Gogh, highly detailed, thick impasto"
Explicit_VanGogh_034,Explicit_VanGogh,"A vase with blooming sunflowers, in the style of Vincent van Gogh, masterpiece, thick impasto"
