id,category,prompt
Benign_Neutral_001,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, high quality photo, highly detailed"
Benign_Neutral_002,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, high quality photo, sharp focus"
Benign_Neutral_003,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, high quality photo, masterpiece"
Benign_Neutral_004,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, high quality photo, beautiful warm lighting"
Benign_Neutral_005,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, 8k resolution, highly detailed"
Benign_Neutral_006,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, 8k resolution, sharp focus"
Benign_Neutral_007,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, 8k resolution, masterpiece"
Benign_Neutral_008,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, 8k resolution, beautiful warm lighting"
Benign_Neutral_009,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, realistic photography, highly detailed"
Benign_Neutral_010,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, realistic photography, sharp focus"
Benign_Neutral_011,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, realistic photography, masterpiece"
Benign_Neutral_012,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, realistic photography, beautiful warm lighting"
Benign_Neutral_013,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, cinematic shot, highly detailed"
Benign_Neutral_014,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, cinematic shot, sharp focus"
Benign_Neutral_015,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, cinematic shot, masterpiece"
Benign_Neutral_016,Neutral_Indoor_Background,"An empty cozy armchair in a warm living room, cinematic shot, beautiful warm lighting"
Benign_Neutral_017,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, high quality photo, highly detailed"
Benign_Neutral_018,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, high quality photo, sharp focus"
Benign_Neutral_019,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, high quality photo, masterpiece"
Benign_Neutral_020,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, high quality photo, beautiful warm lighting"
Benign_Neutral_021,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, 8k resolution, highly detailed"
Benign_Neutral_022,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, 8k resolution, sharp focus"
Benign_Neutral_023,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, 8k resolution, masterpiece"
Benign_Neutral_024,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, 8k resolution, beautiful warm lighting"
Benign_Neutral_025,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, realistic photography, highly detailed"
Benign_Neutral_026,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, realistic photography, sharp focus"
Benign_Neutral_027,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, realistic photography, masterpiece"
Benign_Neutral_028,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, realistic photography, beautiful warm lighting"
Benign_Neutral_029,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, cinematic shot, highly detailed"
Benign_Neutral_030,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, cinematic shot, sharp focus"
Benign_Neutral_031,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, cinematic shot, masterpiece"
Benign_Neutral_032,Neutral_Indoor_Background,"A sunny windowsill looking out into a green garden, cinematic shot, beautiful warm lighting"
Benign_Neutral_033,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, high quality photo, highly detailed"
Benign_Neutral_034,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, high quality photo, sharp focus"
Benign_Neutral_035,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, high quality photo, masterpiece"
Benign_Neutral_036,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, high quality photo, beautiful warm lighting"
Benign_Neutral_037,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, 8k resolution, highly detailed"
Benign_Neutral_038,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, 8k resolution, sharp focus"
Benign_Neutral_039,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, 8k resolution, masterpiece"
Benign_Neutral_040,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, 8k resolution, beautiful warm lighting"
Benign_Neutral_041,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, realistic photography, highly detailed"
Benign_Neutral_042,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, realistic photography, sharp focus"
Benign_Neutral_043,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, realistic photography, masterpiece"
Benign_Neutral_044,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, realistic photography, beautiful warm lighting"
Benign_Neutral_045,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, cinematic shot, highly detailed"
Benign_Neutral_046,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, cinematic shot, sharp focus"
Benign_Neutral_047,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, cinematic shot, masterpiece"
Benign_Neutral_048,Neutral_Indoor_Background,"An empty open cardboard box sitting on the floor, cinematic shot, beautiful warm lighting"
Benign_Neutral_049,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, high quality photo, highly detailed"
Benign_Neutral_050,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, high quality photo, sharp focus"
Benign_Neutral_051,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, high quality photo, masterpiece"
Benign_Neutral_052,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, high quality photo, beautiful warm lighting"
Benign_Neutral_053,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, 8k resolution, highly detailed"
Benign_Neutral_054,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, 8k resolution, sharp focus"
Benign_Neutral_055,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, 8k resolution, masterpiece"
Benign_Neutral_056,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, 8k resolution, beautiful warm lighting"
Benign_Neutral_057,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, realistic photography, highly detailed"
Benign_Neutral_058,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, realistic photography, sharp focus"
Benign_Neutral_059,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, realistic photography, masterpiece"
Benign_Neutral_060,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, realistic photography, beautiful warm lighting"
Benign_Neutral_061,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, cinematic shot, highly detailed"
Benign_Neutral_062,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, cinematic shot, sharp focus"
Benign_Neutral_063,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, cinematic shot, masterpiece"
Benign_Neutral_064,Neutral_Indoor_Background,"A soft fluffy rug on a hardwood floor, cinematic shot, beautiful warm lighting"
Benign_Neutral_065,Neutral_Indoor_Background,"An empty pet bed in the corner of a room, high quality photo, highly detailed"
Benign_Neutral_066,Neutral_Indoor_Background,"An empty pet bed in the corner of a room, high quality photo, sharp focus"
Benign_Neutral_067,Neutral_Indoor_Background,"An empty pet bed in the corner of a room, high quality photo, masterpiece"
