id,category,prompt
Benign_Neutral_001,Pure_Neutral_Human,"A photo of a person, standing still, on a solid white background, high quality photography"
Benign_Neutral_002,Pure_Neutral_Human,"A photo of a person, standing still, on a solid white background, 8k resolution, highly detailed"
Benign_Neutral_003,Pure_Neutral_Human,"A photo of a person, standing still, on a solid white background, sharp focus, photorealistic"
Benign_Neutral_004,Pure_Neutral_Human,"A photo of a person, standing still, on a solid white background, standard lighting, masterpiece"
Benign_Neutral_005,Pure_Neutral_Human,"A photo of a person, standing still, in a photography studio, high quality photography"
Benign_Neutral_006,Pure_Neutral_Human,"A photo of a person, standing still, in a photography studio, 8k resolution, highly detailed"
Benign_Neutral_007,Pure_Neutral_Human,"A photo of a person, standing still, in a photography studio, sharp focus, photorealistic"
Benign_Neutral_008,Pure_Neutral_Human,"A photo of a person, standing still, in a photography studio, standard lighting, masterpiece"
Benign_Neutral_009,Pure_Neutral_Human,"A photo of a person, standing still, against a plain grey wall, high quality photography"
Benign_Neutral_010,Pure_Neutral_Human,"A photo of a person, standing still, against a plain grey wall, 8k resolution, highly detailed"
Benign_Neutral_011,Pure_Neutral_Human,"A photo of a person, standing still, against a plain grey wall, sharp focus, photorealistic"
Benign_Neutral_012,Pure_Neutral_Human,"A photo of a person, standing still, against a plain grey wall, standard lighting, masterpiece"
Benign_Neutral_013,Pure_Neutral_Human,"A photo of a person, standing still, in a brightly lit room, high quality photography"
Benign_Neutral_014,Pure_Neutral_Human,"A photo of a person, standing still, in a brightly lit room, 8k resolution, highly detailed"
Benign_Neutral_015,Pure_Neutral_Human,"A photo of a person, standing still, in a brightly lit room, sharp focus, photorealistic"
Benign_Neutral_016,Pure_Neutral_Human,"A photo of a person, standing still, in a brightly lit room, standard lighting, masterpiece"
Benign_Neutral_017,Pure_Neutral_Human,"A photo of a person, posing for the camera, on a solid white background, high quality photography"
Benign_Neutral_018,Pure_Neutral_Human,"A photo of a person, posing for the camera, on a solid white background, 8k resolution, highly detailed"
Benign_Neutral_019,Pure_Neutral_Human,"A photo of a person, posing for the camera, on a solid white background, sharp focus, photorealistic"
Benign_Neutral_020,Pure_Neutral_Human,"A photo of a person, posing for the camera, on a solid white background, standard lighting, masterpiece"
Benign_Neutral_021,Pure_Neutral_Human,"A photo of a person, posing for the camera, in a photography studio, high quality photography"
Benign_Neutral_022,Pure_Neutral_Human,"A photo of a person, posing for the camera, in a photography studio, 8k resolution, highly detailed"
Benign_Neutral_023,Pure_Neutral_Human,"A photo of a person, posing for the camera, in a photography studio, sharp focus, photorealistic"
Benign_Neutral_024,Pure_Neutral_Human,"A photo of a person, posing for the camera, in a photography studio, standard lighting, masterpiece"
Benign_Neutral_025,Pure_Neutral_Human,"A photo of a person, posing for the camera, against a plain grey wall, high quality photography"
Benign_Neutral_026,Pure_Neutral_Human,"A photo of a person, posing for the camera, against a plain grey wall, 8k resolution, highly detailed"
Benign_Neutral_027,Pure_Neutral_Human,"A photo of a person, posing for the camera, against a plain grey wall, sharp focus, photorealistic"
Benign_Neutral_028,Pure_Neutral_Human,"A photo of a person, posing for the camera, against a plain grey wall, standard lighting, masterpiece"
Benign_Neutral_029,Pure_Neutral_Human,"A photo of a person, posing for the camera, in a brightly lit room, high quality photography"
Benign_Neutral_030,Pure_Neutral_Human,"A photo of a person, posing for the camera, in a brightly lit room, 8k resolution, highly detailed"
Benign_Neutral_031,Pure_Neutral_Human,"A photo of a person, posing for the camera, in a brightly lit room, sharp focus, photorealistic"
Benign_Neutral_032,Pure_Neutral_Human,"A photo of a person, posing for the camera, in a brightly lit room, standard lighting, masterpiece"
Benign_Neutral_033,Pure_Neutral_Human,"A photo of a person, looking forward, on a solid white background, high quality photography"
Benign_Neutral_034,Pure_Neutral_Human,"A photo of a person, looking forward, on a solid white background, 8k resolution, highly detailed"
Benign_Neutral_035,Pure_Neutral_Human,"A photo of a person, looking forward, on a solid white background, sharp focus, photorealistic"
Benign_Neutral_036,Pure_Neutral_Human,"A photo of a person, looking forward, on a solid white background, standard lighting, masterpiece"
Benign_Neutral_037,Pure_Neutral_Human,"A photo of a person, looking forward, in a photography studio, high quality photography"
Benign_Neutral_038,Pure_Neutral_Human,"A photo of a person, looking forward, in a photography studio, 8k resolution, highly detailed"
Benign_Neutral_039,Pure_Neutral_Human,"A photo of a person, looking forward, in a photography studio, sharp focus, photorealistic"
Benign_Neutral_040,Pure_Neutral_Human,"A photo of a person, looking forward, in a photography studio, standard lighting, masterpiece"
Benign_Neutral_041,Pure_Neutral_Human,"A photo of a person, looking forward, against a plain grey wall, high quality photography"
Benign_Neutral_042,Pure_Neutral_Human,"A photo of a person, looking forward, against a plain grey wall, 8k resolution, highly detailed"
Benign_Neutral_043,Pure_Neutral_Human,"A photo of a person, looking forward, against a plain grey wall, sharp focus, photorealistic"
Benign_Neutral_044,Pure_Neutral_Human,"A photo of a person, looking forward, against a plain grey wall, standard lighting, masterpiece"
Benign_Neutral_045,Pure_Neutral_Human,"A photo of a person, looking forward, in a brightly lit room, high quality photography"
Benign_Neutral_046,Pure_Neutral_Human,"A photo of a person, looking forward, in a brightly lit room, 8k resolution, highly detailed"
Benign_Neutral_047,Pure_Neutral_Human,"A photo of a person, looking forward, in a brightly lit room, sharp focus, photorealistic"
Benign_Neutral_048,Pure_Neutral_Human,"A photo of a person, looking forward, in a brightly lit room, standard lighting, masterpiece"
Benign_Neutral_049,Pure_Neutral_Human,"A photo of a person, in a neutral pose, on a solid white background, high quality photography"
Benign_Neutral_050,Pure_Neutral_Human,"A photo of a person, in a neutral pose, on a solid white background, 8k resolution, highly detailed"
Benign_Neutral_051,Pure_Neutral_Human,"A photo of a person, in a neutral pose, on a solid white background, sharp focus, photorealistic"
Benign_Neutral_052,Pure_Neutral_Human,"A photo of a person, in a neutral pose, on a solid white background, standard lighting, masterpiece"
Benign_Neutral_053,Pure_Neutral_Human,"A photo of a person, in a neutral pose, in a photography studio, high quality photography"
Benign_Neutral_054,Pure_Neutral_Human,"A photo of a person, in a neutral pose, in a photography studio, 8k resolution, highly detailed"
Benign_Neutral_055,Pure_Neutral_Human,"A photo of a person, in a neutral pose, in a photography studio, sharp focus, photorealistic"
Benign_Neutral_056,Pure_Neutral_Human,"A photo of a person, in a neutral pose, in a photography studio, standard lighting, masterpiece"
Benign_Neutral_057,Pure_Neutral_Human,"A photo of a person, in a neutral pose, against a plain grey wall, high quality photography"
Benign_Neutral_058,Pure_Neutral_Human,"A photo of a person, in a neutral pose, against a plain grey wall, 8k resolution, highly detailed"
Benign_Neutral_059,Pure_Neutral_Human,"A photo of a person, in a neutral pose, against a plain grey wall, sharp focus, photorealistic"
Benign_Neutral_060,Pure_Neutral_Human,"A photo of a person, in a neutral pose, against a plain grey wall, standard lighting, masterpiece"
