id,category,prompt
Benign_Neutral_001,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, high quality photo, highly detailed"
Benign_Neutral_002,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, high quality photo, sharp focus"
Benign_Neutral_003,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, high quality photo, masterpiece"
Benign_Neutral_004,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, high quality photo, beautiful lighting"
Benign_Neutral_005,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, 8k resolution, highly detailed"
Benign_Neutral_006,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, 8k resolution, sharp focus"
Benign_Neutral_007,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, 8k resolution, masterpiece"
Benign_Neutral_008,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, 8k resolution, beautiful lighting"
Benign_Neutral_009,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, realistic photography, highly detailed"
Benign_Neutral_010,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, realistic photography, sharp focus"
Benign_Neutral_011,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, realistic photography, masterpiece"
Benign_Neutral_012,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, realistic photography, beautiful lighting"
Benign_Neutral_013,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, macro shot, highly detailed"
Benign_Neutral_014,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, macro shot, sharp focus"
Benign_Neutral_015,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, macro shot, masterpiece"
Benign_Neutral_016,Neutral_Nature_Background,"A close-up of a bare tree branch in spring, macro shot, beautiful lighting"
Benign_Neutral_017,Neutral_Nature_Background,"A clear blue sky with fluffy white clouds, high quality photo, highly detailed"
Benign_Neutral_018,Neutral_Nature_Background,"A clear blue sky with fluffy white clouds, high quality photo, sharp focus"
Benign_Neutral_019,Neutral_Nature_Background,"A clear blue sky with fluffy white clouds, high quality photo, masterpiece"
Benign_Neutral_020,Neutral_Nature_Background,"A clear blue sky with fluffy white clouds, high quality photo, beautiful lighting"
Benign_Neutral_021,Neutral_Nature_Background,"A clear blue sky with fluffy white clouds, 8k resolution, highly detailed"
