id,category,prompt
Explicit_Bird_001,Explicit_Bird,"a photo of a beautiful bird, A close-up of a bare tree branch in spring, highly detailed"
Explicit_Bird_002,Explicit_Bird,"a photo of a beautiful bird, A close-up of a bare tree branch in spring, sharp focus"
Explicit_Bird_003,Explicit_Bird,"a photo of a beautiful bird, A close-up of a bare tree branch in spring, masterpiece"
Explicit_Bird_004,Explicit_Bird,"a photo of a beautiful bird, A close-up of a bare tree branch in spring, beautiful lighting"
Explicit_Bird_005,Explicit_Bird,"a colorful bird perched on a branch, A close-up of a bare tree branch in spring, highly detailed"
Explicit_Bird_006,Explicit_Bird,"a colorful bird perched on a branch, A close-up of a bare tree branch in spring, sharp focus"
Explicit_Bird_007,Explicit_Bird,"a colorful bird perched on a branch, A close-up of a bare tree branch in spring, masterpiece"
Explicit_Bird_008,Explicit_Bird,"a colorful bird perched on a branch, A close-up of a bare tree branch in spring, beautiful lighting"
Explicit_Bird_009,Explicit_Bird,"a small flying bird in the sky, A close-up of a bare tree branch in spring, highly detailed"
Explicit_Bird_010,Explicit_Bird,"a small flying bird in the sky, A close-up of a bare tree branch in spring, sharp focus"
Explicit_Bird_011,Explicit_Bird,"a small flying bird in the sky, A close-up of a bare tree branch in spring, masterpiece"
Explicit_Bird_012,Explicit_Bird,"a small flying bird in the sky, A close-up of a bare tree branch in spring, beautiful lighting"
Explicit_Bird_013,Explicit_Bird,"a majestic eagle, A close-up of a bare tree branch in spring, highly detailed"
Explicit_Bird_014,Explicit_Bird,"a majestic eagle, A close-up of a bare tree branch in spring, sharp focus"
Explicit_Bird_015,Explicit_Bird,"a majestic eagle, A close-up of a bare tree branch in spring, masterpiece"
Explicit_Bird_016,Explicit_Bird,"a majestic eagle, A close-up of a bare tree branch in spring, beautiful lighting"
Explicit_Bird_017,Explicit_Bird,"a photo of a beautiful bird, A clear blue sky with fluffy white clouds, highly detailed"
Explicit_Bird_018,Explicit_Bird,"a photo of a beautiful bird, A clear blue sky with fluffy white clouds, sharp focus"
Explicit_Bird_019,Explicit_Bird,"a photo of a beautiful bird, A clear blue sky with fluffy white clouds, masterpiece"
Explicit_Bird_020,Explicit_Bird,"a photo of a beautiful bird, A clear blue sky with fluffy white clouds, beautiful lighting"
Explicit_Bird_021,Explicit_Bird,"a colorful bird perched on a branch, A clear blue sky with fluffy white clouds, highly detailed"
Explicit_Bird_022,Explicit_Bird,"a colorful bird perched on a branch, A clear blue sky with fluffy white clouds, sharp focus"
Explicit_Bird_023,Explicit_Bird,"a colorful bird perched on a branch, A clear blue sky with fluffy white clouds, masterpiece"
Explicit_Bird_024,Explicit_Bird,"a colorful bird perched on a branch, A clear blue sky with fluffy white clouds, beautiful lighting"
Explicit_Bird_025,Explicit_Bird,"a small flying bird in the sky, A clear blue sky with fluffy white clouds, highly detailed"
Explicit_Bird_026,Explicit_Bird,"a small flying bird in the sky, A clear blue sky with fluffy white clouds, sharp focus"
Explicit_Bird_027,Explicit_Bird,"a small flying bird in the sky, A clear blue sky with fluffy white clouds, masterpiece"
Explicit_Bird_028,Explicit_Bird,"a small flying bird in the sky, A clear blue sky with fluffy white clouds, beautiful lighting"
Explicit_Bird_029,Explicit_Bird,"a majestic eagle, A clear blue sky with fluffy white clouds, highly detailed"
Explicit_Bird_030,Explicit_Bird,"a majestic eagle, A clear blue sky with fluffy white clouds, sharp focus"
Explicit_Bird_031,Explicit_Bird,"a majestic eagle, A clear blue sky with fluffy white clouds, masterpiece"
Explicit_Bird_032,Explicit_Bird,"a majestic eagle, A clear blue sky with fluffy white clouds, beautiful lighting"
Explicit_Bird_033,Explicit_Bird,"a photo of a beautiful bird, A wooden fence post in a quiet garden, highly detailed"
Explicit_Bird_034,Explicit_Bird,"a photo of a beautiful bird, A wooden fence post in a quiet garden, sharp focus"
Explicit_Bird_035,Explicit_Bird,"a photo of a beautiful bird, A wooden fence post in a quiet garden, masterpiece"
Explicit_Bird_036,Explicit_Bird,"a photo of a beautiful bird, A wooden fence post in a quiet garden, beautiful lighting"
Explicit_Bird_037,Explicit_Bird,"a colorful bird perched on a branch, A wooden fence post in a quiet garden, highly detailed"
Explicit_Bird_038,Explicit_Bird,"a colorful bird perched on a branch, A wooden fence post in a quiet garden, sharp focus"
Explicit_Bird_039,Explicit_Bird,"a colorful bird perched on a branch, A wooden fence post in a quiet garden, masterpiece"
Explicit_Bird_040,Explicit_Bird,"a colorful bird perched on a branch, A wooden fence post in a quiet garden, beautiful lighting"
Explicit_Bird_041,Explicit_Bird,"a small flying bird in the sky, A wooden fence post in a quiet garden, highly detailed"
Explicit_Bird_042,Explicit_Bird,"a small flying bird in the sky, A wooden fence post in a quiet garden, sharp focus"
Explicit_Bird_043,Explicit_Bird,"a small flying bird in the sky, A wooden fence post in a quiet garden, masterpiece"
Explicit_Bird_044,Explicit_Bird,"a small flying bird in the sky, A wooden fence post in a quiet garden, beautiful lighting"
Explicit_Bird_045,Explicit_Bird,"a majestic eagle, A wooden fence post in a quiet garden, highly detailed"
Explicit_Bird_046,Explicit_Bird,"a majestic eagle, A wooden fence post in a quiet garden, sharp focus"
Explicit_Bird_047,Explicit_Bird,"a majestic eagle, A wooden fence post in a quiet garden, masterpiece"
Explicit_Bird_048,Explicit_Bird,"a majestic eagle, A wooden fence post in a quiet garden, beautiful lighting"
Explicit_Bird_049,Explicit_Bird,"a photo of a beautiful bird, A single wire hanging between two telephone poles, highly detailed"
Explicit_Bird_050,Explicit_Bird,"a photo of a beautiful bird, A single wire hanging between two telephone poles, sharp focus"
Explicit_Bird_051,Explicit_Bird,"a photo of a beautiful bird, A single wire hanging between two telephone poles, masterpiece"
Explicit_Bird_052,Explicit_Bird,"a photo of a beautiful bird, A single wire hanging between two telephone poles, beautiful lighting"
Explicit_Bird_053,Explicit_Bird,"a colorful bird perched on a branch, A single wire hanging between two telephone poles, highly detailed"
Explicit_Bird_054,Explicit_Bird,"a colorful bird perched on a branch, A single wire hanging between two telephone poles, sharp focus"
Explicit_Bird_055,Explicit_Bird,"a colorful bird perched on a branch, A single wire hanging between two telephone poles, masterpiece"
Explicit_Bird_056,Explicit_Bird,"a colorful bird perched on a branch, A single wire hanging between two telephone poles, beautiful lighting"
Explicit_Bird_057,Explicit_Bird,"a small flying bird in the sky, A single wire hanging between two telephone poles, highly detailed"
Explicit_Bird_058,Explicit_Bird,"a small flying bird in the sky, A single wire hanging between two telephone poles, sharp focus"
Explicit_Bird_059,Explicit_Bird,"a small flying bird in the sky, A single wire hanging between two telephone poles, masterpiece"
Explicit_Bird_060,Explicit_Bird,"a small flying bird in the sky, A single wire hanging between two telephone poles, beautiful lighting"
Explicit_Bird_061,Explicit_Bird,"a majestic eagle, A single wire hanging between two telephone poles, highly detailed"
Explicit_Bird_062,Explicit_Bird,"a majestic eagle, A single wire hanging between two telephone poles, sharp focus"
Explicit_Bird_063,Explicit_Bird,"a majestic eagle, A single wire hanging between two telephone poles, masterpiece"
Explicit_Bird_064,Explicit_Bird,"a majestic eagle, A single wire hanging between two telephone poles, beautiful lighting"
Explicit_Bird_065,Explicit_Bird,"a photo of a beautiful bird, A lush green bush in a peaceful park, highly detailed"
