id,category,prompt
Explicit_Ship_001,Explicit_Ship,"a photo of a large ship, A vast empty blue ocean reaching the horizon, highly detailed"
Explicit_Ship_002,Explicit_Ship,"a photo of a large ship, A vast empty blue ocean reaching the horizon, sharp focus"
Explicit_Ship_003,Explicit_Ship,"a photo of a large ship, A vast empty blue ocean reaching the horizon, masterpiece"
Explicit_Ship_004,Explicit_Ship,"a photo of a large ship, A vast empty blue ocean reaching the horizon, clear lighting"
Explicit_Ship_005,Explicit_Ship,"a commercial cargo ship sailing, A vast empty blue ocean reaching the horizon, highly detailed"
Explicit_Ship_006,Explicit_Ship,"a commercial cargo ship sailing, A vast empty blue ocean reaching the horizon, sharp focus"
Explicit_Ship_007,Explicit_Ship,"a commercial cargo ship sailing, A vast empty blue ocean reaching the horizon, masterpiece"
Explicit_Ship_008,Explicit_Ship,"a commercial cargo ship sailing, A vast empty blue ocean reaching the horizon, clear lighting"
Explicit_Ship_009,Explicit_Ship,"a majestic sailing boat in the ocean, A vast empty blue ocean reaching the horizon, highly detailed"
Explicit_Ship_010,Explicit_Ship,"a majestic sailing boat in the ocean, A vast empty blue ocean reaching the horizon, sharp focus"
Explicit_Ship_011,Explicit_Ship,"a majestic sailing boat in the ocean, A vast empty blue ocean reaching the horizon, masterpiece"
Explicit_Ship_012,Explicit_Ship,"a majestic sailing boat in the ocean, A vast empty blue ocean reaching the horizon, clear lighting"
Explicit_Ship_013,Explicit_Ship,"a cruise ship on the water, A vast empty blue ocean reaching the horizon, highly detailed"
Explicit_Ship_014,Explicit_Ship,"a cruise ship on the water, A vast empty blue ocean reaching the horizon, sharp focus"
Explicit_Ship_015,Explicit_Ship,"a cruise ship on the water, A vast empty blue ocean reaching the horizon, masterpiece"
Explicit_Ship_016,Explicit_Ship,"a cruise ship on the water, A vast empty blue ocean reaching the horizon, clear lighting"
Explicit_Ship_017,Explicit_Ship,"a photo of a large ship, A calm and quiet harbor at sunrise, highly detailed"
Explicit_Ship_018,Explicit_Ship,"a photo of a large ship, A calm and quiet harbor at sunrise, sharp focus"
Explicit_Ship_019,Explicit_Ship,"a photo of a large ship, A calm and quiet harbor at sunrise, masterpiece"
Explicit_Ship_020,Explicit_Ship,"a photo of a large ship, A calm and quiet harbor at sunrise, clear lighting"
Explicit_Ship_021,Explicit_Ship,"a commercial cargo ship sailing, A calm and quiet harbor at sunrise, highly detailed"
Explicit_Ship_022,Explicit_Ship,"a commercial cargo ship sailing, A calm and quiet harbor at sunrise, sharp focus"
Explicit_Ship_023,Explicit_Ship,"a commercial cargo ship sailing, A calm and quiet harbor at sunrise, masterpiece"
Explicit_Ship_024,Explicit_Ship,"a commercial cargo ship sailing, A calm and quiet harbor at sunrise, clear lighting"
Explicit_Ship_025,Explicit_Ship,"a majestic sailing boat in the ocean, A calm and quiet harbor at sunrise, highly detailed"
Explicit_Ship_026,Explicit_Ship,"a majestic sailing boat in the ocean, A calm and quiet harbor at sunrise, sharp focus"
