id,category,prompt
Explicit_Airplane_001,Explicit_Airplane,"a large commercial airplane flying, A clear blue sky with fluffy white clouds, highly detailed"
Explicit_Airplane_002,Explicit_Airplane,"a large commercial airplane flying, A clear blue sky with fluffy white clouds, sharp focus"
Explicit_Airplane_003,Explicit_Airplane,"a large commercial airplane flying, A clear blue sky with fluffy white clouds, masterpiece"
Explicit_Airplane_004,Explicit_Airplane,"a large commercial airplane flying, A clear blue sky with fluffy white clouds, clear lighting"
Explicit_Airplane_005,Explicit_Airplane,"a passenger jet in the sky, A clear blue sky with fluffy white clouds, highly detailed"
Explicit_Airplane_006,Explicit_Airplane,"a passenger jet in the sky, A clear blue sky with fluffy white clouds, sharp focus"
Explicit_Airplane_007,Explicit_Airplane,"a passenger jet in the sky, A clear blue sky with fluffy white clouds, masterpiece"
Explicit_Airplane_008,Explicit_Airplane,"a passenger jet in the sky, A clear blue sky with fluffy white clouds, clear lighting"
Explicit_Airplane_009,Explicit_Airplane,"a photo of an airplane, A clear blue sky with fluffy white clouds, highly detailed"
Explicit_Airplane_010,Explicit_Airplane,"a photo of an airplane, A clear blue sky with fluffy white clouds, sharp focus"
Explicit_Airplane_011,Explicit_Airplane,"a photo of an airplane, A clear blue sky with fluffy white clouds, masterpiece"
Explicit_Airplane_012,Explicit_Airplane,"a photo of an airplane, A clear blue sky with fluffy white clouds, clear lighting"
Explicit_Airplane_013,Explicit_Airplane,"a Boeing jetliner cruising, A clear blue sky with fluffy white clouds, highly detailed"
Explicit_Airplane_014,Explicit_Airplane,"a Boeing jetliner cruising, A clear blue sky with fluffy white clouds, sharp focus"
Explicit_Airplane_015,Explicit_Airplane,"a Boeing jetliner cruising, A clear blue sky with fluffy white clouds, masterpiece"
Explicit_Airplane_016,Explicit_Airplane,"a Boeing jetliner cruising, A clear blue sky with fluffy white clouds, clear lighting"
Explicit_Airplane_017,Explicit_Airplane,"a large commercial airplane flying, An empty airport runway on a sunny day, highly detailed"
Explicit_Airplane_018,Explicit_Airplane,"a large commercial airplane flying, An empty airport runway on a sunny day, sharp focus"
Explicit_Airplane_019,Explicit_Airplane,"a large commercial airplane flying, An empty airport runway on a sunny day, masterpiece"
Explicit_Airplane_020,Explicit_Airplane,"a large commercial airplane flying, An empty airport runway on a sunny day, clear lighting"
Explicit_Airplane_021,Explicit_Airplane,"a passenger jet in the sky, An empty airport runway on a sunny day, highly detailed"
Explicit_Airplane_022,Explicit_Airplane,"a passenger jet in the sky, An empty airport runway on a sunny day, sharp focus"
