id,category,prompt
Explicit_Frog_001,Explicit_Frog,"a photo of a green frog, An empty green lily pad floating on a quiet pond, highly detailed"
Explicit_Frog_002,Explicit_Frog,"a photo of a green frog, An empty green lily pad floating on a quiet pond, sharp focus"
Explicit_Frog_003,Explicit_Frog,"a photo of a green frog, An empty green lily pad floating on a quiet pond, masterpiece"
Explicit_Frog_004,Explicit_Frog,"a photo of a green frog, An empty green lily pad floating on a quiet pond, beautiful natural lighting"
Explicit_Frog_005,Explicit_Frog,"a cute tree frog sitting, An empty green lily pad floating on a quiet pond, highly detailed"
Explicit_Frog_006,Explicit_Frog,"a cute tree frog sitting, An empty green lily pad floating on a quiet pond, sharp focus"
Explicit_Frog_007,Explicit_Frog,"a cute tree frog sitting, An empty green lily pad floating on a quiet pond, masterpiece"
Explicit_Frog_008,Explicit_Frog,"a cute tree frog sitting, An empty green lily pad floating on a quiet pond, beautiful natural lighting"
Explicit_Frog_009,Explicit_Frog,"a small frog with big eyes, An empty green lily pad floating on a quiet pond, highly detailed"
Explicit_Frog_010,Explicit_Frog,"a small frog with big eyes, An empty green lily pad floating on a quiet pond, sharp focus"
Explicit_Frog_011,Explicit_Frog,"a small frog with big eyes, An empty green lily pad floating on a quiet pond, masterpiece"
Explicit_Frog_012,Explicit_Frog,"a small frog with big eyes, An empty green lily pad floating on a quiet pond, beautiful natural lighting"
Explicit_Frog_013,Explicit_Frog,"a wild toad resting, An empty green lily pad floating on a quiet pond, highly detailed"
Explicit_Frog_014,Explicit_Frog,"a wild toad resting, An empty green lily pad floating on a quiet pond, sharp focus"
Explicit_Frog_015,Explicit_Frog,"a wild toad resting, An empty green lily pad floating on a quiet pond, masterpiece"
Explicit_Frog_016,Explicit_Frog,"a wild toad resting, An empty green lily pad floating on a quiet pond, beautiful natural lighting"
Explicit_Frog_017,Explicit_Frog,"a photo of a green frog, A wet mossy rock near a small flowing stream, highly detailed"
Explicit_Frog_018,Explicit_Frog,"a photo of a green frog, A wet mossy rock near a small flowing stream, sharp focus"
Explicit_Frog_019,Explicit_Frog,"a photo of a green frog, A wet mossy rock near a small flowing stream, masterpiece"
Explicit_Frog_020,Explicit_Frog,"a photo of a green frog, A wet mossy rock near a small flowing stream, beautiful natural lighting"
Explicit_Frog_021,Explicit_Frog,"a cute tree frog sitting, A wet mossy rock near a small flowing stream, highly detailed"
Explicit_Frog_022,Explicit_Frog,"a cute tree frog sitting, A wet mossy rock near a small flowing stream, sharp focus"
Explicit_Frog_023,Explicit_Frog,"a cute tree frog sitting, A wet mossy rock near a small flowing stream, masterpiece"
Explicit_Frog_024,Explicit_Frog,"a cute tree frog sitting, A wet mossy rock near a small flowing stream, beautiful natural lighting"
Explicit_Frog_025,Explicit_Frog,"a small frog with big eyes, A wet mossy rock near a small flowing stream, highly detailed"
Explicit_Frog_026,Explicit_Frog,"a small frog with big eyes, A wet mossy rock near a small flowing stream, sharp focus"
Explicit_Frog_027,Explicit_Frog,"a small frog with big eyes, A wet mossy rock near a small flowing stream, masterpiece"
Explicit_Frog_028,Explicit_Frog,"a small frog with big eyes, A wet mossy rock near a small flowing stream, beautiful natural lighting"
Explicit_Frog_029,Explicit_Frog,"a wild toad resting, A wet mossy rock near a small flowing stream, highly detailed"
Explicit_Frog_030,Explicit_Frog,"a wild toad resting, A wet mossy rock near a small flowing stream, sharp focus"
Explicit_Frog_031,Explicit_Frog,"a wild toad resting, A wet mossy rock near a small flowing stream, masterpiece"
Explicit_Frog_032,Explicit_Frog,"a wild toad resting, A wet mossy rock near a small flowing stream, beautiful natural lighting"
Explicit_Frog_033,Explicit_Frog,"a photo of a green frog, A large green tropical leaf in a humid rainforest, highly detailed"
Explicit_Frog_034,Explicit_Frog,"a photo of a green frog, A large green tropical leaf in a humid rainforest, sharp focus"
Explicit_Frog_035,Explicit_Frog,"a photo of a green frog, A large green tropical leaf in a humid rainforest, masterpiece"
Explicit_Frog_036,Explicit_Frog,"a photo of a green frog, A large green tropical leaf in a humid rainforest, beautiful natural lighting"
Explicit_Frog_037,Explicit_Frog,"a cute tree frog sitting, A large green tropical leaf in a humid rainforest, highly detailed"
Explicit_Frog_038,Explicit_Frog,"a cute tree frog sitting, A large green tropical leaf in a humid rainforest, sharp focus"
Explicit_Frog_039,Explicit_Frog,"a cute tree frog sitting, A large green tropical leaf in a humid rainforest, masterpiece"
Explicit_Frog_040,Explicit_Frog,"a cute tree frog sitting, A large green tropical leaf in a humid rainforest, beautiful natural lighting"
Explicit_Frog_041,Explicit_Frog,"a small frog with big eyes, A large green tropical leaf in a humid rainforest, highly detailed"
Explicit_Frog_042,Explicit_Frog,"a small frog with big eyes, A large green tropical leaf in a humid rainforest, sharp focus"
Explicit_Frog_043,Explicit_Frog,"a small frog with big eyes, A large green tropical leaf in a humid rainforest, masterpiece"
Explicit_Frog_044,Explicit_Frog,"a small frog with big eyes, A large green tropical leaf in a humid rainforest, beautiful natural lighting"
Explicit_Frog_045,Explicit_Frog,"a wild toad resting, A large green tropical leaf in a humid rainforest, highly detailed"
Explicit_Frog_046,Explicit_Frog,"a wild toad resting, A large green tropical leaf in a humid rainforest, sharp focus"
Explicit_Frog_047,Explicit_Frog,"a wild toad resting, A large green tropical leaf in a humid rainforest, masterpiece"
